batch,time_point,time_label,pair_class,broken_status,allele,count_sum,pct_within_group
4,0,T0,CIS,broken,12_L01,40406,4.260425156816248
4,0,T0,CIS,broken,12_L05,52843,5.57178752070586
4,0,T0,CIS,broken,12_L07,33612,3.5440630196235143
4,0,T0,CIS,broken,12_L12,39935,4.21076272428493
4,0,T0,CIS,broken,15_L01,52086,5.491969131265928
4,0,T0,CIS,broken,15_L04,126,0.013285491505193467
4,0,T0,CIS,broken,15_L15,32276,3.403194633504955
4,0,T0,CIS,broken,15_L17_2,49105,5.177651272718454
4,0,T0,CIS,broken,15_L18,7293,0.7689769011696505
4,0,T0,CIS,broken,3_L02,56551,5.962760556430125
4,0,T0,CIS,broken,3_L03,15631,1.6481390295053895
4,0,T0,CIS,broken,3_L04,155163,16.360450146193127
4,0,T0,CIS,broken,4_L01,36191,3.815993833844895
4,0,T0,CIS,broken,4_L03,39574,4.172698736718463
4,0,T0,CIS,broken,4_L06_2,37974,4.00399408268426
4,0,T0,CIS,broken,4_L10_2,64908,6.84392605253252
4,0,T0,CIS,broken,4_L12_2,47520,5.010528224815822
4,0,T0,CIS,broken,4_L13,31686,3.340984792329843
4,0,T0,CIS,broken,4_L15_2,39394,4.153719463139614
4,0,T0,CIS,broken,7_L03,34751,3.6641596452141125
4,0,T0,CIS,broken,7_L06,44531,4.695366842998177
4,0,T0,CIS,broken,7_L09,36847,3.885162741998918
4,0,T0,TRANS,unbroken,12_L01,400,2.1874658208465494
4,0,T0,TRANS,unbroken,12_L05,581,3.177294104779613
4,0,T0,TRANS,unbroken,12_L07,522,2.854642896204747
4,0,T0,TRANS,unbroken,12_L12,1758,9.613912282620584
4,0,T0,TRANS,unbroken,15_L01,717,3.9210324838674397
4,0,T0,TRANS,unbroken,15_L04,20,0.10937329104232746
4,0,T0,TRANS,unbroken,15_L15,743,4.0632177622224654
4,0,T0,TRANS,unbroken,15_L17_2,503,2.7507382697145357
4,0,T0,TRANS,unbroken,15_L18,110,0.6015531007328011
4,0,T0,TRANS,unbroken,3_L02,1597,8.733457289729849
4,0,T0,TRANS,unbroken,3_L03,251,1.3726348025812096
4,0,T0,TRANS,unbroken,3_L04,3527,19.28797987531445
4,0,T0,TRANS,unbroken,4_L01,902,4.932735426008969
4,0,T0,TRANS,unbroken,4_L03,1295,7.081920594990703
4,0,T0,TRANS,unbroken,4_L06_2,1029,5.627255824127748
4,0,T0,TRANS,unbroken,4_L10_2,777,4.249152356994422
4,0,T0,TRANS,unbroken,4_L12_2,761,4.16165372416056
4,0,T0,TRANS,unbroken,4_L13,755,4.128841736847861
4,0,T0,TRANS,unbroken,4_L15_2,378,2.067155200699989
4,0,T0,TRANS,unbroken,7_L03,585,3.1991687629880783
4,0,T0,TRANS,unbroken,7_L06,298,1.6296620365306793
4,0,T0,TRANS,unbroken,7_L09,777,4.249152356994422
4,120,T120,CIS,broken,12_L01,20467,2.986697253061558
4,120,T120,CIS,broken,12_L05,31343,4.573804270421088
4,120,T120,CIS,broken,12_L07,24542,3.5813516384734823
4,120,T120,CIS,broken,12_L12,29733,4.338861065387174
4,120,T120,CIS,broken,15_L01,33348,4.8663888207894095
4,120,T120,CIS,broken,15_L04,70,0.010214921957996241
4,120,T120,CIS,broken,15_L15,21709,3.16793915408772
4,120,T120,CIS,broken,15_L17_2,32328,4.71754281511575
4,120,T120,CIS,broken,15_L18,5854,0.8542593306015713
4,120,T120,CIS,broken,3_L02,51606,7.530732322347914
4,120,T120,CIS,broken,3_L03,7565,1.103941208746308
4,120,T120,CIS,broken,3_L04,118932,17.355444261548698
4,120,T120,CIS,broken,4_L01,24400,3.560629939644404
4,120,T120,CIS,broken,4_L03,29435,4.295374683337419
4,120,T120,CIS,broken,4_L06_2,25982,3.791487175895119
4,120,T120,CIS,broken,4_L10_2,52659,7.6843939340874865
4,120,T120,CIS,broken,4_L12_2,39176,5.716854037520868
4,120,T120,CIS,broken,4_L13,17661,2.5772248100024515
4,120,T120,CIS,broken,4_L15_2,29640,4.325289811928694
4,120,T120,CIS,broken,7_L03,24008,3.503426376679625
4,120,T120,CIS,broken,7_L06,40193,5.865262260824899
4,120,T120,CIS,broken,7_L09,24621,3.5928799075403637
4,120,T120,TRANS,unbroken,12_L01,1201,3.0286218635733198
4,120,T120,TRANS,unbroken,12_L05,571,1.439919303996974
4,120,T120,TRANS,unbroken,12_L07,650,1.6391375614676587
4,120,T120,TRANS,unbroken,12_L12,3133,7.900643046274114
4,120,T120,TRANS,unbroken,15_L01,1911,4.819064430714916
4,120,T120,TRANS,unbroken,15_L04,19,0.04791325179674694
4,120,T120,TRANS,unbroken,15_L15,1352,3.40940612785273
4,120,T120,TRANS,unbroken,15_L17_2,1917,4.83419493128231
4,120,T120,TRANS,unbroken,15_L18,43,0.10843525406632203
4,120,T120,TRANS,unbroken,3_L02,1864,4.700542176270331
4,120,T120,TRANS,unbroken,3_L03,168,0.4236540158870256
4,120,T120,TRANS,unbroken,3_L04,5172,13.04249148909343
4,120,T120,TRANS,unbroken,4_L01,4982,12.563358971125961
4,120,T120,TRANS,unbroken,4_L03,1995,5.030891438658429
4,120,T120,TRANS,unbroken,4_L06_2,2808,7.081074265540285
4,120,T120,TRANS,unbroken,4_L10_2,1327,3.346362375488589
4,120,T120,TRANS,unbroken,4_L12_2,3352,8.452906316983986
4,120,T120,TRANS,unbroken,4_L13,714,1.8005295675198587
4,120,T120,TRANS,unbroken,4_L15_2,1193,3.0084478628167948
4,120,T120,TRANS,unbroken,7_L03,928,2.3401840877569033
4,120,T120,TRANS,unbroken,7_L06,3207,8.08725255327197
4,120,T120,TRANS,unbroken,7_L09,1148,2.8949691085613414
6,0,T0,CIS,broken,12_L01,7225,3.5729121335601537
6,0,T0,CIS,broken,12_L05,16430,8.124975273964473
6,0,T0,CIS,broken,12_L07,6293,3.112018831348657
6,0,T0,CIS,broken,12_L12,5948,2.9414091862167187
6,0,T0,CIS,broken,15_L01,8153,4.0318273529295405
6,0,T0,CIS,broken,15_L04,21,0.010384934921074495
6,0,T0,CIS,broken,15_L15,6810,3.3676860386913003
6,0,T0,CIS,broken,15_L17_2,8871,4.386893223088183
6,0,T0,CIS,broken,15_L18,1264,0.6250741781065791
6,0,T0,CIS,broken,3_L02,13000,6.42876923685564
6,0,T0,CIS,broken,3_L03,5431,2.6857419788740753
6,0,T0,CIS,broken,3_L04,53103,26.260533291134234
6,0,T0,CIS,broken,4_L01,7667,3.7914902876132452
6,0,T0,CIS,broken,4_L03,8115,4.013035565929501
6,0,T0,CIS,broken,4_L06_2,7577,3.746983423665783
6,0,T0,CIS,broken,4_L10_2,7586,3.7514341100605293
6,0,T0,CIS,broken,4_L12_2,9028,4.464532974640978
6,0,T0,CIS,broken,4_L13,4764,2.3558966649523283
6,0,T0,CIS,broken,4_L15_2,7354,3.6367053052181824
6,0,T0,CIS,broken,7_L03,3925,1.9409937888198758
6,0,T0,CIS,broken,7_L06,5865,2.900363967242948
6,0,T0,CIS,broken,7_L09,7786,3.850338252166001
6,0,T0,TRANS,unbroken,12_L01,304,2.9301204819277107
6,0,T0,TRANS,unbroken,12_L05,262,2.525301204819277
6,0,T0,TRANS,unbroken,12_L07,360,3.4698795180722892
6,0,T0,TRANS,unbroken,12_L12,837,8.067469879518072
6,0,T0,TRANS,unbroken,15_L01,284,2.7373493975903616
6,0,T0,TRANS,unbroken,15_L04,5,0.04819277108433735
6,0,T0,TRANS,unbroken,15_L15,449,4.327710843373494
6,0,T0,TRANS,unbroken,15_L17_2,569,5.48433734939759
6,0,T0,TRANS,unbroken,15_L18,39,0.3759036144578313
6,0,T0,TRANS,unbroken,3_L02,1028,9.90843373493976
6,0,T0,TRANS,unbroken,3_L03,215,2.072289156626506
6,0,T0,TRANS,unbroken,3_L04,2663,25.667469879518073
6,0,T0,TRANS,unbroken,4_L01,466,4.491566265060241
6,0,T0,TRANS,unbroken,4_L03,318,3.0650602409638554
6,0,T0,TRANS,unbroken,4_L06_2,571,5.5036144578313255
6,0,T0,TRANS,unbroken,4_L10_2,146,1.4072289156626505
6,0,T0,TRANS,unbroken,4_L12_2,111,1.069879518072289
6,0,T0,TRANS,unbroken,4_L13,428,4.125301204819277
6,0,T0,TRANS,unbroken,4_L15_2,306,2.9493975903614458
6,0,T0,TRANS,unbroken,7_L03,318,3.0650602409638554
6,0,T0,TRANS,unbroken,7_L06,118,1.1373493975903615
6,0,T0,TRANS,unbroken,7_L09,578,5.571084337349397
6,120,T120,CIS,broken,12_L01,3548,2.479177147968025
6,120,T120,CIS,broken,12_L05,14670,10.25071272849237
6,120,T120,CIS,broken,12_L07,3956,2.76426854491587
6,120,T120,CIS,broken,12_L12,2612,1.8251439432053218
6,120,T120,CIS,broken,15_L01,7163,5.005170775336799
6,120,T120,CIS,broken,15_L04,34,0.02375761641232042
6,120,T120,CIS,broken,15_L15,2966,2.0725026552630106
6,120,T120,CIS,broken,15_L17_2,4446,3.106657722622841
6,120,T120,CIS,broken,15_L18,566,0.3954944379227458
6,120,T120,CIS,broken,3_L02,6307,4.407037844485438
6,120,T120,CIS,broken,3_L03,4250,2.9697020515400525
6,120,T120,CIS,broken,3_L04,52199,36.47422997372687
6,120,T120,CIS,broken,4_L01,3547,2.4784783945441333
6,120,T120,CIS,broken,4_L03,1557,1.087959080999497
6,120,T120,CIS,broken,4_L06_2,4013,2.8040974900777016
6,120,T120,CIS,broken,4_L10_2,6551,4.577533679915032
6,120,T120,CIS,broken,4_L12_2,7222,5.046397227346414
6,120,T120,CIS,broken,4_L13,2599,1.8160601486947285
6,120,T120,CIS,broken,4_L15_2,6096,4.259600872044273
6,120,T120,CIS,broken,7_L03,1683,1.176002012409861
6,120,T120,CIS,broken,7_L06,5003,3.4958633797305607
6,120,T120,CIS,broken,7_L09,2124,1.4841522723461344
6,120,T120,TRANS,unbroken,12_L01,206,1.793175487465181
6,120,T120,TRANS,unbroken,12_L05,385,3.3513231197771587
6,120,T120,TRANS,unbroken,12_L07,189,1.6451949860724233
6,120,T120,TRANS,unbroken,12_L12,194,1.6887186629526463
6,120,T120,TRANS,unbroken,15_L01,974,8.47841225626741
6,120,T120,TRANS,unbroken,15_L04,1,0.008704735376044569
6,120,T120,TRANS,unbroken,15_L15,169,1.4711002785515321
6,120,T120,TRANS,unbroken,15_L17_2,473,4.117339832869081
6,120,T120,TRANS,unbroken,15_L18,4,0.034818941504178275
6,120,T120,TRANS,unbroken,3_L02,130,1.1316155988857939
6,120,T120,TRANS,unbroken,3_L03,814,7.085654596100278
6,120,T120,TRANS,unbroken,3_L04,3709,32.285863509749305
6,120,T120,TRANS,unbroken,4_L01,87,0.7573119777158774
6,120,T120,TRANS,unbroken,4_L03,59,0.5135793871866295
6,120,T120,TRANS,unbroken,4_L06_2,105,0.9139972144846796
6,120,T120,TRANS,unbroken,4_L10_2,607,5.283774373259053
