batch,pair_class,broken_status,region_class,time_point,time_label,count_sum,pct_intact_repaired
4,CIS,broken,centromere,0,T0,173031,60.274845856411325
4,CIS,broken,centromere,120,T120,114039,39.725154143588675
4,CIS,broken,long_arm,0,T0,280821,58.32647923832312
4,CIS,broken,long_arm,120,T120,200643,41.67352076167688
4,CIS,broken,short_arm,0,T0,173933,55.078342706591684
4,CIS,broken,short_arm,120,T120,141859,44.921657293408316
4,CIS,broken,telomere,0,T0,320618,58.363262698211884
4,CIS,broken,telomere,120,T120,228731,41.636737301788116
4,TRANS,unbroken,centromere,0,T0,2145,31.768364928909953
4,TRANS,unbroken,centromere,120,T120,4607,68.23163507109005
4,TRANS,unbroken,long_arm,0,T0,5530,30.92149407291434
4,TRANS,unbroken,long_arm,120,T120,12354,69.07850592708566
4,TRANS,unbroken,short_arm,0,T0,3529,28.563334682314853
4,TRANS,unbroken,short_arm,120,T120,8826,71.43666531768515
4,TRANS,unbroken,telomere,0,T0,7082,33.80429594272076
4,TRANS,unbroken,telomere,120,T120,13868,66.19570405727923
6,CIS,broken,centromere,0,T0,28395,56.895826236800445
6,CIS,broken,centromere,120,T120,21512,43.104173763199555
6,CIS,broken,long_arm,0,T0,50332,62.29593415434123
6,CIS,broken,long_arm,120,T120,30463,37.70406584565877
6,CIS,broken,short_arm,0,T0,30388,64.07185628742515
6,CIS,broken,short_arm,120,T120,17040,35.92814371257485
6,CIS,broken,telomere,0,T0,93101,55.68308233352074
6,CIS,broken,telomere,120,T120,74097,44.31691766647926
6,TRANS,unbroken,centromere,0,T0,949,26.732394366197184
6,TRANS,unbroken,centromere,120,T120,2601,73.26760563380282
6,TRANS,unbroken,long_arm,0,T0,3099,45.986051342929215
6,TRANS,unbroken,long_arm,120,T120,3640,54.013948657070785
6,TRANS,unbroken,short_arm,0,T0,2040,74.04718693284937
6,TRANS,unbroken,short_arm,120,T120,715,25.952813067150636
6,TRANS,unbroken,telomere,0,T0,4287,48.61095362285973
6,TRANS,unbroken,telomere,120,T120,4532,51.38904637714027
8,CIS,broken,centromere,0,T0,32688,67.15700373916259
8,CIS,broken,centromere,120,T120,15986,32.84299626083741
8,CIS,broken,long_arm,0,T0,38088,61.21209199170725
8,CIS,broken,long_arm,120,T120,24135,38.78790800829275
8,CIS,broken,short_arm,0,T0,33027,55.00924399140558
8,CIS,broken,short_arm,120,T120,27012,44.99075600859442
8,CIS,broken,telomere,0,T0,45813,66.40720125239172
8,CIS,broken,telomere,120,T120,23175,33.59279874760828
8,TRANS,unbroken,centromere,0,T0,1408,47.13759625041848
8,TRANS,unbroken,centromere,120,T120,1579,52.86240374958152
8,TRANS,unbroken,long_arm,0,T0,5932,76.8592899714952
8,TRANS,unbroken,long_arm,120,T120,1786,23.140710028504795
8,TRANS,unbroken,short_arm,0,T0,2502,53.484395040615645
8,TRANS,unbroken,short_arm,120,T120,2176,46.515604959384355
8,TRANS,unbroken,telomere,0,T0,3081,60.070189120686294
8,TRANS,unbroken,telomere,120,T120,2048,39.929810879313706
