batch,time_point,pair_class,class_count,total_count,class_frequency_pct,time_label
4,0,CIS,948403,966689,98.10838853033395,T0
4,0,TRANS,18286,966689,1.8916114696660455,T0
4,120,CIS,685272,724927,94.5297940344338,T120
4,120,TRANS,39655,724927,5.470205965566188,T120
6,0,CIS,202216,212591,95.11973695970197,T0
6,0,TRANS,10375,212591,4.880263040298037,T0
6,120,CIS,143112,154600,92.56921086675291,T120
6,120,TRANS,11488,154600,7.43078913324709,T120
8,0,CIS,149616,162539,92.0492927851162,T0
8,0,TRANS,12923,162539,7.9507072148838125,T0
8,120,CIS,90308,97897,92.24797491240794,T120
8,120,TRANS,7589,97897,7.752025087592061,T120
