batch,DSB,allele,combo,chrom_num,midpoint,count_t120,nearest_trans_distance_mb,has_same_chr_anchor
4,TRANS,12_L01,A_to_D,12,121861,892,NA,FALSE
4,TRANS,12_L01,C_to_B,12,121861,309,NA,FALSE
4,TRANS,12_L05,A_to_D,12,5947,324,NA,FALSE
4,TRANS,12_L05,C_to_B,12,5947,247,NA,FALSE
4,TRANS,12_L07,A_to_D,12,243617,557,NA,FALSE
4,TRANS,12_L07,C_to_B,12,243617,93,NA,FALSE
4,TRANS,12_L12,A_to_D,12,949729,2248,NA,FALSE
4,TRANS,12_L12,C_to_B,12,949729,885,NA,FALSE
4,TRANS,15_L01,A_to_D,15,321702.5,1118,NA,FALSE
4,TRANS,15_L01,C_to_B,15,321702.5,793,NA,FALSE
4,TRANS,15_L04,A_to_D,15,240148.5,15,NA,FALSE
4,TRANS,15_L04,C_to_B,15,240148.5,4,NA,FALSE
4,TRANS,15_L15,A_to_D,15,538556,838,NA,FALSE
4,TRANS,15_L15,C_to_B,15,538556,514,NA,FALSE
4,TRANS,15_L17_2,A_to_D,15,756300,1906,NA,FALSE
4,TRANS,15_L17_2,C_to_B,15,756300,11,NA,FALSE
4,TRANS,15_L18,A_to_D,15,906017.5,41,NA,FALSE
4,TRANS,15_L18,C_to_B,15,906017.5,2,NA,FALSE
4,TRANS,3_L02,A_to_D,3,37725.5,1672,0.253762,TRUE
4,TRANS,3_L02,C_to_B,3,37725.5,192,0.253762,TRUE
4,TRANS,3_L03,A_to_D,3,130512.5,159,0.160975,TRUE
4,TRANS,3_L03,C_to_B,3,130512.5,9,0.160975,TRUE
4,TRANS,3_L04,A_to_D,3,291487.5,4307,0,TRUE
4,TRANS,3_L04,C_to_B,3,291487.5,865,0,TRUE
4,TRANS,4_L01,A_to_D,4,8248,3609,NA,FALSE
4,TRANS,4_L01,C_to_B,4,8248,1373,NA,FALSE
4,TRANS,4_L03,A_to_D,4,130204,849,NA,FALSE
4,TRANS,4_L03,C_to_B,4,130204,1146,NA,FALSE
4,TRANS,4_L06_2,A_to_D,4,245056.5,1804,NA,FALSE
4,TRANS,4_L06_2,C_to_B,4,245056.5,1004,NA,FALSE
4,TRANS,4_L10_2,A_to_D,4,492439.5,1034,NA,FALSE
4,TRANS,4_L10_2,C_to_B,4,492439.5,293,NA,FALSE
4,TRANS,4_L12_2,A_to_D,4,914120,1365,NA,FALSE
4,TRANS,4_L12_2,C_to_B,4,914120,1987,NA,FALSE
4,TRANS,4_L13,A_to_D,4,713166.5,437,NA,FALSE
4,TRANS,4_L13,C_to_B,4,713166.5,277,NA,FALSE
4,TRANS,4_L15_2,A_to_D,4,1120420.5,858,NA,FALSE
4,TRANS,4_L15_2,C_to_B,4,1120420.5,335,NA,FALSE
4,TRANS,7_L03,A_to_D,7,425184,889,NA,FALSE
4,TRANS,7_L03,C_to_B,7,425184,39,NA,FALSE
4,TRANS,7_L06,A_to_D,7,248317.5,1515,NA,FALSE
4,TRANS,7_L06,C_to_B,7,248317.5,1692,NA,FALSE
4,TRANS,7_L09,A_to_D,7,84569,857,NA,FALSE
4,TRANS,7_L09,C_to_B,7,84569,291,NA,FALSE
6,TRANS,12_L01,A_to_D,12,121861,133,NA,FALSE
6,TRANS,12_L01,C_to_B,12,121861,73,NA,FALSE
6,TRANS,12_L05,A_to_D,12,5947,261,NA,FALSE
6,TRANS,12_L05,C_to_B,12,5947,124,NA,FALSE
6,TRANS,12_L07,A_to_D,12,243617,119,NA,FALSE
6,TRANS,12_L07,C_to_B,12,243617,70,NA,FALSE
6,TRANS,12_L12,A_to_D,12,949729,57,NA,FALSE
6,TRANS,12_L12,C_to_B,12,949729,137,NA,FALSE
6,TRANS,15_L01,A_to_D,15,321702.5,734,NA,FALSE
6,TRANS,15_L01,C_to_B,15,321702.5,240,NA,FALSE
6,TRANS,15_L04,A_to_D,15,240148.5,1,NA,FALSE
6,TRANS,15_L04,C_to_B,15,240148.5,0,NA,FALSE
6,TRANS,15_L15,A_to_D,15,538556,16,NA,FALSE
6,TRANS,15_L15,C_to_B,15,538556,153,NA,FALSE
6,TRANS,15_L17_2,A_to_D,15,756300,412,NA,FALSE
6,TRANS,15_L17_2,C_to_B,15,756300,61,NA,FALSE
6,TRANS,15_L18,A_to_D,15,906017.5,4,NA,FALSE
6,TRANS,15_L18,C_to_B,15,906017.5,0,NA,FALSE
6,TRANS,3_L02,A_to_D,3,37725.5,127,0.253762,TRUE
6,TRANS,3_L02,C_to_B,3,37725.5,3,0.253762,TRUE
6,TRANS,3_L03,A_to_D,3,130512.5,733,0.160975,TRUE
6,TRANS,3_L03,C_to_B,3,130512.5,81,0.160975,TRUE
6,TRANS,3_L04,A_to_D,3,291487.5,3628,0,TRUE
6,TRANS,3_L04,C_to_B,3,291487.5,81,0,TRUE
6,TRANS,4_L01,A_to_D,4,8248,55,NA,FALSE
6,TRANS,4_L01,C_to_B,4,8248,32,NA,FALSE
6,TRANS,4_L03,A_to_D,4,130204,49,NA,FALSE
6,TRANS,4_L03,C_to_B,4,130204,10,NA,FALSE
6,TRANS,4_L06_2,A_to_D,4,245056.5,90,NA,FALSE
6,TRANS,4_L06_2,C_to_B,4,245056.5,15,NA,FALSE
6,TRANS,4_L10_2,A_to_D,4,492439.5,348,NA,FALSE
6,TRANS,4_L10_2,C_to_B,4,492439.5,259,NA,FALSE
6,TRANS,4_L12_2,A_to_D,4,914120,915,NA,FALSE
6,TRANS,4_L12_2,C_to_B,4,914120,373,NA,FALSE
6,TRANS,4_L13,A_to_D,4,713166.5,236,NA,FALSE
6,TRANS,4_L13,C_to_B,4,713166.5,235,NA,FALSE
6,TRANS,4_L15_2,A_to_D,4,1120420.5,730,NA,FALSE
6,TRANS,4_L15_2,C_to_B,4,1120420.5,122,NA,FALSE
6,TRANS,7_L03,A_to_D,7,425184,147,NA,FALSE
6,TRANS,7_L03,C_to_B,7,425184,7,NA,FALSE
6,TRANS,7_L06,A_to_D,7,248317.5,280,NA,FALSE
6,TRANS,7_L06,C_to_B,7,248317.5,45,NA,FALSE
6,TRANS,7_L09,A_to_D,7,84569,292,NA,FALSE
6,TRANS,7_L09,C_to_B,7,84569,0,NA,FALSE
8,TRANS,12_L01,A_to_D,12,121861,36,NA,FALSE
8,TRANS,12_L01,C_to_B,12,121861,10,NA,FALSE
8,TRANS,12_L05,A_to_D,12,5947,128,NA,FALSE
8,TRANS,12_L05,C_to_B,12,5947,61,NA,FALSE
8,TRANS,12_L07,A_to_D,12,243617,47,NA,FALSE
8,TRANS,12_L07,C_to_B,12,243617,17,NA,FALSE
8,TRANS,12_L12,A_to_D,12,949729,142,NA,FALSE
8,TRANS,12_L12,C_to_B,12,949729,32,NA,FALSE
8,TRANS,15_L01,A_to_D,15,321702.5,467,NA,FALSE
8,TRANS,15_L01,C_to_B,15,321702.5,463,NA,FALSE
8,TRANS,15_L04,A_to_D,15,240148.5,4,NA,FALSE
8,TRANS,15_L04,C_to_B,15,240148.5,0,NA,FALSE
8,TRANS,15_L15,A_to_D,15,538556,667,NA,FALSE
8,TRANS,15_L15,C_to_B,15,538556,295,NA,FALSE
8,TRANS,15_L17_2,A_to_D,15,756300,6,NA,FALSE
8,TRANS,15_L17_2,C_to_B,15,756300,1,NA,FALSE
8,TRANS,15_L18,A_to_D,15,906017.5,6,NA,FALSE
8,TRANS,15_L18,C_to_B,15,906017.5,2,NA,FALSE
8,TRANS,3_L02,A_to_D,3,37725.5,1101,0.253762,TRUE
8,TRANS,3_L02,C_to_B,3,37725.5,279,0.253762,TRUE
8,TRANS,3_L03,A_to_D,3,130512.5,6,0.160975,TRUE
8,TRANS,3_L03,C_to_B,3,130512.5,13,0.160975,TRUE
8,TRANS,3_L04,A_to_D,3,291487.5,30,0,TRUE
8,TRANS,3_L04,C_to_B,3,291487.5,34,0,TRUE
8,TRANS,4_L01,A_to_D,4,8248,270,NA,FALSE
8,TRANS,4_L01,C_to_B,4,8248,134,NA,FALSE
8,TRANS,4_L03,A_to_D,4,130204,834,NA,FALSE
8,TRANS,4_L03,C_to_B,4,130204,534,NA,FALSE
8,TRANS,4_L06_2,A_to_D,4,245056.5,382,NA,FALSE
8,TRANS,4_L06_2,C_to_B,4,245056.5,371,NA,FALSE
8,TRANS,4_L10_2,A_to_D,4,492439.5,381,NA,FALSE
8,TRANS,4_L10_2,C_to_B,4,492439.5,203,NA,FALSE
8,TRANS,4_L12_2,A_to_D,4,914120,194,NA,FALSE
8,TRANS,4_L12_2,C_to_B,4,914120,48,NA,FALSE
8,TRANS,4_L13,A_to_D,4,713166.5,6,NA,FALSE
8,TRANS,4_L13,C_to_B,4,713166.5,4,NA,FALSE
8,TRANS,4_L15_2,A_to_D,4,1120420.5,182,NA,FALSE
8,TRANS,4_L15_2,C_to_B,4,1120420.5,137,NA,FALSE
8,TRANS,7_L03,A_to_D,7,425184,4,NA,FALSE
8,TRANS,7_L03,C_to_B,7,425184,0,NA,FALSE
8,TRANS,7_L06,A_to_D,7,248317.5,18,NA,FALSE
8,TRANS,7_L06,C_to_B,7,248317.5,17,NA,FALSE
8,TRANS,7_L09,A_to_D,7,84569,9,NA,FALSE
8,TRANS,7_L09,C_to_B,7,84569,14,NA,FALSE
