batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Counts,Percent_of_Uncuttable
6,0,1,DSB1,INTACT,CHRIII_L02,A_to_B,51283,23997,213.70587990165438
6,0,1,DSB1,INTACT,CHRIII_L03,A_to_B,38174,23997,159.07821811059716
6,0,1,DSB1,INTACT,CHRIII_L04,A_to_B,228463,23997,952.0481726882527
6,0,1,DSB1,INTACT,CHRIV_L01,A_to_B,49541,23997,206.44663916322872
6,0,1,DSB1,INTACT,CHRIV_L03,A_to_B,32857,23997,136.92128182689504
6,0,1,DSB1,INTACT,CHRIV_L06_2,A_to_B,54088,23997,225.39484102179438
6,0,1,DSB1,INTACT,CHRIV_L10_2,A_to_B,39551,23997,164.8164353877568
6,0,1,DSB1,INTACT,CHRIV_L12_2,A_to_B,44777,23997,186.59415760303372
6,0,1,DSB1,INTACT,CHRIV_L13,A_to_B,29708,23997,123.79880818435637
6,0,1,DSB1,INTACT,CHRIV_L15_2,A_to_B,51410,23997,214.23511272242362
6,0,1,DSB1,INTACT,CHRVII_990K,A_to_B,55756,23997,232.34570988040173
6,0,1,DSB1,INTACT,CHRVII_L03,A_to_B,25406,23997,105.87156727924324
6,0,1,DSB1,INTACT,CHRVII_L06,A_to_B,37751,23997,157.31549777055466
6,0,1,DSB1,INTACT,CHRVII_L09,A_to_B,47770,23997,199.06654998541484
6,0,1,DSB1,INTACT,CHRXII_L01,A_to_B,36766,23997,153.21081801891904
6,0,1,DSB1,INTACT,CHRXII_L05,A_to_B,115878,23997,482.88536067008374
6,0,1,DSB1,INTACT,CHRXII_L07,A_to_B,37186,23997,154.9610367962662
6,0,1,DSB1,INTACT,CHRXII_L12,A_to_B,43616,23997,181.75605283993832
6,0,1,DSB1,INTACT,CHRXV_L01,A_to_B,51209,23997,213.39750802183607
6,0,1,DSB1,INTACT,CHRXV_L04,A_to_B,58,23997,0.24169687877651372
6,0,1,DSB1,INTACT,CHRXV_L15,A_to_B,39981,23997,166.6083260407551
6,0,1,DSB1,INTACT,CHRXV_L17_2,A_to_B,50534,23997,210.58465641538527
6,0,1,DSB1,INTACT,CHRXV_L18_1PERCENT_CONTROL,A_to_B,7649,23997,31.874817685544027
6,0,1,DSB1,INTACT,COMMON,A_to_B,170,23997,0.708421886069092
6,0,1,DSB1,INTACT,NO_CUT,A_to_B,23997,23997,100
6,0,1,DSB1,SSA,CHRIII_L02,A_to_B,1267,15119,8.38018387459488
6,0,1,DSB1,SSA,CHRIII_L03,A_to_B,877,15119,5.800648191017925
6,0,1,DSB1,SSA,CHRIII_L04,A_to_B,5996,15119,39.65870758648059
6,0,1,DSB1,SSA,CHRIV_L01,A_to_B,1356,15119,8.968847145975262
6,0,1,DSB1,SSA,CHRIV_L03,A_to_B,768,15119,5.0797010384284675
6,0,1,DSB1,SSA,CHRIV_L06_2,A_to_B,1373,15119,9.081288445002976
6,0,1,DSB1,SSA,CHRIV_L10_2,A_to_B,1053,15119,6.964746345657781
