batch,time_point,DSB,allele,Cis_Location_Counts,Trans_Location_Counts,Total_Cis_Location_Counts,Total_Trans_Location_Counts,Percent_Location_in_Cis,Percent_Location_in_Trans
6,0,DSB1,CHRIII_L02,52550,0,1238149,0,4.244238779016095,NA
6,0,DSB1,CHRIII_L03,39051,0,1238149,0,3.1539822751542825,NA
6,0,DSB1,CHRIII_L04,234459,0,1238149,0,18.936250806647664,NA
6,0,DSB1,CHRIV_L01,50897,0,1238149,0,4.1107330377846285,NA
6,0,DSB1,CHRIV_L03,33625,0,1238149,0,2.71574745850459,NA
6,0,DSB1,CHRIV_L06_2,55461,0,1238149,0,4.4793478006281955,NA
6,0,DSB1,CHRIV_L10_2,40604,0,1238149,0,3.27941144401845,NA
6,0,DSB1,CHRIV_L12_2,45904,0,1238149,0,3.707469779485345,NA
6,0,DSB1,CHRIV_L13,30438,0,1238149,0,2.4583470971587427,NA
6,0,DSB1,CHRIV_L15_2,52669,0,1238149,0,4.253849900133183,NA
6,0,DSB1,CHRVII_990K,57121,0,1238149,0,4.613418901925374,NA
6,0,DSB1,CHRVII_L03,26088,0,1238149,0,2.107016199181197,NA
6,0,DSB1,CHRVII_L06,38711,0,1238149,0,3.126521929105463,NA
6,0,DSB1,CHRVII_L09,48941,0,1238149,0,3.9527552822802425,NA
6,0,DSB1,CHRXII_L01,37640,0,1238149,0,3.0400218390516813,NA
6,0,DSB1,CHRXII_L05,118841,0,1238149,0,9.59827936702287,NA
6,0,DSB1,CHRXII_L07,38112,0,1238149,0,3.0781432606253367,NA
6,0,DSB1,CHRXII_L12,44687,0,1238149,0,3.6091778937753047,NA
6,0,DSB1,CHRXV_L01,52457,0,1238149,0,4.236727566714507,NA
6,0,DSB1,CHRXV_L04,61,0,1238149,0,0.004926709144052937,NA
6,0,DSB1,CHRXV_L15,40955,0,1238149,0,3.307760213027673,NA
6,0,DSB1,CHRXV_L17_2,51747,0,1238149,0,4.179383902906678,NA
6,0,DSB1,CHRXV_L18_1PERCENT_CONTROL,7836,0,1238149,0,0.6328802107016199,NA
6,0,DSB1,COMMON,178,0,1238149,0,0.014376298813793816,NA
6,0,DSB1,NO_CUT,39116,0,1238149,0,3.1592320471930275,NA
6,0,DSB2,CHRIII_L02,218,0,1777638,0,0.012263464214873895,NA
6,0,DSB2,CHRIII_L03,96,0,1777638,0,0.005400424608384834,NA
6,0,DSB2,CHRIII_L04,351,0,1777638,0,0.01974530247440705,NA
6,0,DSB2,CHRIV_L01,61,0,1777638,0,0.00343151980324453,NA
6,0,DSB2,CHRIV_L03,410,0,1777638,0,0.023064313431643564,NA
6,0,DSB2,CHRIV_L06_2,34,0,1777638,0,0.0019126503821362954,NA
6,0,DSB2,CHRIV_L10_2,186,0,1777638,0,0.010463322678745616,NA
6,0,DSB2,CHRIV_L12_2,188,0,1777638,0,0.010575831524753634,NA
6,0,DSB2,CHRIV_L13,73,0,1777638,0,0.0041065728792926345,NA
6,0,DSB2,CHRIV_L15_2,302,0,1777638,0,0.016988835747210624,NA
6,0,DSB2,CHRVII_990K,50,0,1777638,0,0.0028127211502004344,NA
6,0,DSB2,CHRVII_L03,771,0,1777638,0,0.0433721601360907,NA
