batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Combo_Counts,Fold_of_Uncuttable,Percent_of_Uncuttable
6,0,1,DSB1,INTACT,CHRIII_L02,A_to_B,51283,23997,2.1370587990165437,213.70587990165438
6,0,1,DSB1,INTACT,CHRIII_L03,A_to_B,38174,23997,1.5907821811059715,159.07821811059716
6,0,1,DSB1,INTACT,CHRIII_L04,A_to_B,228463,23997,9.520481726882528,952.0481726882527
6,0,1,DSB1,INTACT,CHRIV_L01,A_to_B,49541,23997,2.0644663916322874,206.44663916322872
6,0,1,DSB1,INTACT,CHRIV_L03,A_to_B,32857,23997,1.3692128182689502,136.92128182689504
6,0,1,DSB1,INTACT,CHRIV_L06_2,A_to_B,54088,23997,2.253948410217944,225.39484102179438
6,0,1,DSB1,INTACT,CHRIV_L10_2,A_to_B,39551,23997,1.648164353877568,164.8164353877568
6,0,1,DSB1,INTACT,CHRIV_L12_2,A_to_B,44777,23997,1.865941576030337,186.59415760303372
6,0,1,DSB1,INTACT,CHRIV_L13,A_to_B,29708,23997,1.2379880818435638,123.79880818435637
6,0,1,DSB1,INTACT,CHRIV_L15_2,A_to_B,51410,23997,2.142351127224236,214.23511272242362
6,0,1,DSB1,INTACT,CHRVII_990K,A_to_B,55756,23997,2.3234570988040173,232.34570988040173
6,0,1,DSB1,INTACT,CHRVII_L03,A_to_B,25406,23997,1.0587156727924323,105.87156727924324
6,0,1,DSB1,INTACT,CHRVII_L06,A_to_B,37751,23997,1.5731549777055465,157.31549777055466
6,0,1,DSB1,INTACT,CHRVII_L09,A_to_B,47770,23997,1.9906654998541484,199.06654998541484
6,0,1,DSB1,INTACT,CHRXII_L01,A_to_B,36766,23997,1.5321081801891903,153.21081801891904
6,0,1,DSB1,INTACT,CHRXII_L05,A_to_B,115878,23997,4.828853606700838,482.88536067008374
6,0,1,DSB1,INTACT,CHRXII_L07,A_to_B,37186,23997,1.549610367962662,154.9610367962662
6,0,1,DSB1,INTACT,CHRXII_L12,A_to_B,43616,23997,1.8175605283993832,181.75605283993832
6,0,1,DSB1,INTACT,CHRXV_L01,A_to_B,51209,23997,2.133975080218361,213.39750802183607
6,0,1,DSB1,INTACT,CHRXV_L04,A_to_B,58,23997,0.0024169687877651372,0.24169687877651372
6,0,1,DSB1,INTACT,CHRXV_L15,A_to_B,39981,23997,1.6660832604075508,166.6083260407551
6,0,1,DSB1,INTACT,CHRXV_L17_2,A_to_B,50534,23997,2.1058465641538526,210.58465641538527
6,0,1,DSB1,INTACT,CHRXV_L18_1PERCENT_CONTROL,A_to_B,7649,23997,0.31874817685544027,31.874817685544027
6,0,1,DSB1,INTACT,COMMON,A_to_B,170,23997,0.007084218860690919,0.708421886069092
6,0,1,DSB1,INTACT,NO_CUT,A_to_B,23997,23997,1,100
