chromosome,T0,T0_Frequency,T120,T120_Frequency,Delta,abs_delta,batch
I,-0,0,-0,0,0,0,6
II,-0,0,-0,0,0,0,6
III,0.5865998311315872,0.19560713665274287,0.8059311172759638,0.29368658153506993,0.21933128614437658,0.21933128614437658,6
IV,1,0.5684612013866741,1,0.4521559555085023,0,0,6
V,-0,0,-0,0,0,0,6
VI,-0,0,-0,0,0,0,6
VII,0.35007311868960456,0.06966559580575153,0.38993523609771535,0.06875008168973584,0.0398621174081108,0.0398621174081108,6
VIII,-0,0,-0,0,0,0,6
IX,-0,0,-0,0,0,0,6
X,-0,0,-0,0,0,0,6
XI,-0,0,-0,0,0,0,6
XII,0.4144531888811936,0.09764540242849476,0.4982093932147276,0.11223080509046866,0.08375620433353403,0.08375620433353403,6
XIII,-0,0,-0,0,0,0,6
XIV,-0,0,-0,0,0,0,6
XV,0.34743778123179875,0.0686206637263367,0.4022924805974752,0.07317657617622328,0.05485469936567644,0.05485469936567644,6
XVI,-0,0,-0,0,0,0,6
