chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.11416265953454849,0,0,0.08910971971462545,0,0,0,0,0.08897970503480326,0,0,0.2529325828004183,0
IV,0,0,0.11416265953454849,0,0,0,0.09819632761812529,0,0,0,0,0.09805305521040286,0,0,0.2787243731156301,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.08910971971462545,0.09819632761812529,0,0,0,0,0,0,0,0.0765353601833138,0,0,0.21755844570572713,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.08897970503480326,0.09805305521040286,0,0,0.0765353601833138,0,0,0,0,0,0,0,0.21724101914719202,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.2529325828004183,0.2787243731156301,0,0,0.21755844570572713,0,0,0,0,0.21724101914719202,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
