chromosome,T0,T0_Frequency,T120,T120_Frequency,Delta,abs_delta,batch,batch_key
I,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
II,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
III,1.0,0.3548598012145387,1.0,0.4360219922380336,0.0,0.0,6,batch6
IV,0.8494664909188956,0.25606446180694387,0.7211238326077791,0.2267399741267788,-0.12834265831111646,0.12834265831111646,6,batch6
V,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
VI,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
VII,0.4964080950374037,0.08744490594615953,0.3770044511853436,0.061972833117723156,-0.11940364385206009,0.11940364385206009,6,batch6
VIII,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
IX,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
X,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
XI,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
XII,0.7065347906454182,0.17714296465983978,0.6181786290851615,0.1666235446313066,-0.08835616156025672,0.08835616156025672,6,batch6
XIII,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
XIV,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
XV,0.5922909670150603,0.12448786637251812,0.4991648442080491,0.10864165588615783,-0.09312612280701127,0.09312612280701127,6,batch6
XVI,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6
