chromosome,T0,T0_Frequency,T120,T120_Frequency,Delta,abs_delta,batch
I,-0,0,-0,0,0,0,4
II,-0,0,-0,0,0,0,4
III,0.6128011372490769,0.15846239954896618,0.5651374327601844,0.15301846394448512,-0.047663704488892567,0.047663704488892567,4
IV,0.6993995213344388,0.20641334144976325,0.6368422944373324,0.19431193918070325,-0.06255722689710641,0.06255722689710641,4
V,-0,0,-0,0,0,0,4
VI,-0,0,-0,0,0,0,4
VII,1,0.4219753701759332,1,0.4791105004446507,0,0,4
VIII,-0,0,-0,0,0,0,4
IX,-0,0,-0,0,0,0,4
X,-0,0,-0,0,0,0,4
XI,-0,0,-0,0,0,0,4
XII,0.5238393260627301,0.11579326526971469,0.4386404731682307,0.09218347848130114,-0.08519885289449941,0.08519885289449941,4
XIII,-0,0,-0,0,0,0,4
XIV,-0,0,-0,0,0,0,4
XV,0.48032696703642114,0.09735562355562274,0.41212532740300867,0.08137561794885981,-0.06820163963341247,0.06820163963341247,4
XVI,-0,0,-0,0,0,0,4
I,-0,0,-0,0,0,0,6
II,-0,0,-0,0,0,0,6
III,0.5865998311315872,0.19560713665274287,0.8059311172759638,0.29368658153506993,0.21933128614437658,0.21933128614437658,6
IV,1,0.5684612013866741,1,0.4521559555085023,0,0,6
V,-0,0,-0,0,0,0,6
VI,-0,0,-0,0,0,0,6
VII,0.35007311868960456,0.06966559580575153,0.38993523609771535,0.06875008168973584,0.0398621174081108,0.0398621174081108,6
VIII,-0,0,-0,0,0,0,6
IX,-0,0,-0,0,0,0,6
X,-0,0,-0,0,0,0,6
XI,-0,0,-0,0,0,0,6
XII,0.4144531888811936,0.09764540242849476,0.4982093932147276,0.11223080509046866,0.08375620433353403,0.08375620433353403,6
XIII,-0,0,-0,0,0,0,6
XIV,-0,0,-0,0,0,0,6
XV,0.34743778123179875,0.0686206637263367,0.4022924805974752,0.07317657617622328,0.05485469936567644,0.05485469936567644,6
XVI,-0,0,-0,0,0,0,6
I,-0,0,-0,0,0,0,8
II,-0,0,-0,0,0,0,8
III,0.40958979747059143,0.10359860536293694,0.6744568537524543,0.21206471866698864,0.2648670562818629,0.2648670562818629,8
IV,0.4513560818086886,0.12580394095405376,1,0.46618691137406426,0.5486439181913114,0.5486439181913114,8
V,-0,0,-0,0,0,0,8
VI,-0,0,-0,0,0,0,8
VII,0.3523062103269602,0.07664719153120843,0.21873048140747758,0.02230379135474523,-0.1335757289194826,0.1335757289194826,8
VIII,-0,0,-0,0,0,0,8
IX,-0,0,-0,0,0,0,8
X,-0,0,-0,0,0,0,8
XI,-0,0,-0,0,0,0,8
XII,0.3517921813379597,0.07642369200187214,0.44064648615816815,0.09051919826128954,0.08885430482020845,0.08885430482020845,8
XIII,-0,0,-0,0,0,0,8
XIV,-0,0,-0,0,0,0,8
XV,1,0.6175265701499287,0.669446018043689,0.20892538034291233,-0.330553981956311,0.330553981956311,8
XVI,-0,0,-0,0,0,0,8
