chromosome,T0,T0_Frequency,T120,T120_Frequency,Delta,abs_delta
I,-0,0,-0,0,0,0
II,-0,0,-0,0,0,0
III,0.7171759005019026,0.15553579571567488,0.6775548405639555,0.17788700971106428,-0.03962105993794707,0.03962105993794707
IV,0.9186155927436432,0.25517998434626876,0.8046265980863629,0.2508673252963672,-0.1139889946572803,0.1139889946572803
V,-0,0,-0,0,0,0
VI,-0,0,-0,0,0,0
VII,1,0.3023980460133777,1,0.38748538807018906,0,0
VIII,-0,0,-0,0,0,0
IX,-0,0,-0,0,0,0
X,-0,0,-0,0,0,0
XI,-0,0,-0,0,0,0
XII,0.5919471974680451,0.10596072426028512,0.4952821093903727,0.09505185818413783,-0.09666508807767243,0.09666508807767243
XIII,-0,0,-0,0,0,0
XIV,-0,0,-0,0,0,0
XV,0.7735000392018008,0.1809254496643935,0.4784700453082788,0.08870841873824165,-0.29502999389352197,0.29502999389352197
XVI,-0,0,-0,0,0,0
