chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.2112487593601051,0,0,0.26254260033475946,0,0,0,0,0.13003265289863325,0,0,0.12561876987752568,0
IV,0,0,0.2112487593601051,0,0,0,0.3117810496110904,0,0,0,0,0.15441957591932529,0,0,0.1491778929336811,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.26254260033475946,0.3117810496110904,0,0,0,0,0,0,0,0.19191458036135042,0,0,0.18540015118623934,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.13003265289863325,0.15441957591932529,0,0,0.19191458036135042,0,0,0,0,0,0,0,0.09182537796081464,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.12561876987752568,0.1491778929336811,0,0,0.18540015118623934,0,0,0,0,0.09182537796081464,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
