batch_num,DSB2_chr,DSB2_chr_num,allele_chr_num,count_t120,batch_total_t120,pct_of_batch_trans_t120
4,VII,7,4,16371,44691,36.63153655098342
4,VII,7,7,7476,44691,16.728200308787002
4,VII,7,3,7212,44691,16.137477344431765
4,VII,7,12,5555,44691,12.429795708308161
4,VII,7,15,5242,44691,11.729430981629411
4,VII,7,NA,2835,44691,6.3435591058602405
6,IV,4,3,4653,12644,36.800063271116734
6,IV,4,4,3469,12644,27.4359379943056
6,IV,4,15,1621,12644,12.820310028472003
6,IV,4,7,1196,12644,9.459031951913952
6,IV,4,12,974,12644,7.703258462511863
6,IV,4,NA,731,12644,5.7813982916798485
8,XV,15,4,3680,8054,45.6915818226968
8,XV,15,15,1911,8054,23.727340451949342
8,XV,15,3,1463,8054,18.164887012664515
8,XV,15,12,473,8054,5.872858207102061
8,XV,15,NA,320,8054,3.973181028060591
8,XV,15,7,207,8054,2.5701514775266947
