chromosome,T0,T0_Frequency,Tend,Tend_Frequency,Delta,abs_delta,batch,batch_key,endpoint_time
I,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
II,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
III,0.7035687618344203,0.141468749932718,0.7189275126407267,0.13745974170146577,0.015358750806306443,0.015358750806306443,8,batch8,180
IV,1.0,0.2857902567050551,1.0,0.26595325842116474,0.0,0.0,8,batch8,180
V,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
VI,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
VII,0.8596549435777378,0.211200892213158,0.8226826701178742,0.1799989673222019,-0.036972273459863536,0.036972273459863536,8,batch8,180
VIII,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
IX,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
X,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
XI,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
XII,0.8110825409068986,0.1880085173630623,0.8465334836788606,0.19058714187056675,0.035450942771962035,0.035450942771962035,8,batch8,180
XIII,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
XIV,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
XV,0.779229805605139,0.17353158378600664,0.9218333534560085,0.22600089068460083,0.14260354785086948,0.14260354785086948,8,batch8,180
XVI,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8,180
