chromosome,T0,T0_Frequency,Tend,Tend_Frequency,Delta,abs_delta
I,0,0,-0,0,-0,0
II,0,0,-0,0,-0,0
III,0.9401433417088078,0.23511079193646856,0.8446725391135486,0.19480392940976335,-0.0954708025952592,0.0954708025952592
IV,1,0.26600170177753835,1,0.2730366598493591,0,0
V,0,0,-0,0,-0,0
VI,0,0,-0,0,-0,0
VII,0.7800280047150088,0.16184705648095607,0.7600362355975894,0.15772101343022288,-0.0199917691174194,0.0199917691174194
VIII,0,0,-0,0,-0,0
IX,0,0,-0,0,-0,0
X,0,0,-0,0,-0,0
XI,0,0,-0,0,-0,0
XII,0.8597774273417031,0.19663303971790916,0.84394285856431706,0.19446750734098345,-0.015834568777386093,0.015834568777386093
XIII,0,0,-0,0,-0,0
XIV,0,0,-0,0,-0,0
XV,0.7265287533029895,0.1404074100871279,0.8118777714226768,0.17997088996967123,0.08534901811968731,0.08534901811968731
XVI,0,0,-0,0,-0,0
