filter_state,sample,time_point,chrom,bin_start,bin_end,bin_id,count,freq
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,10001,20000,chrI:10001-20000,9,4.9528652325370225e-05
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,30001,40000,chrI:30001-40000,6,3.301910155024682e-05
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,40001,50000,chrI:40001-50000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,70001,80000,chrI:70001-80000,63,0.0003467005662775916
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,80001,90000,chrI:80001-90000,1503,0.008271284938336829
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,100001,110000,chrI:100001-110000,24,0.00013207640620098728
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,120001,130000,chrI:120001-130000,186,0.0010235921480576512
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,130001,140000,chrI:130001-140000,12,6.603820310049364e-05
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,180001,190000,chrI:180001-190000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrI,210001,220000,chrI:210001-220000,26,0.00014308277338440288
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,1,10000,chrII:1-10000,20,0.00011006367183415606
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,30001,40000,chrII:30001-40000,31,0.0001705986913429419
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,50001,60000,chrII:50001-60000,1842,0.010136864175925773
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,60001,70000,chrII:60001-70000,23,0.00012657322260927948
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,70001,80000,chrII:70001-80000,2312,0.01272336046402844
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,110001,120000,chrII:110001-120000,4798,0.026404274873014038
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,140001,150000,chrII:140001-150000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,230001,240000,chrII:230001-240000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,280001,290000,chrII:280001-290000,188,0.001034598515241067
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,300001,310000,chrII:300001-310000,319,0.0017555155657547892
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,400001,410000,chrII:400001-410000,298,0.0016399487103289253
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,440001,450000,chrII:440001-450000,308,0.0016949805462460033
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,470001,480000,chrII:470001-480000,232,0.0012767385932762102
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,520001,530000,chrII:520001-530000,13,7.154138669220144e-05
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,530001,540000,chrII:530001-540000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,540001,550000,chrII:540001-550000,63,0.0003467005662775916
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,560001,570000,chrII:560001-570000,205,0.0011281526363000995
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,580001,590000,chrII:580001-590000,5,2.7515917958539016e-05
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,610001,620000,chrII:610001-620000,4649,0.025584300517849577
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,640001,650000,chrII:640001-650000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,650001,660000,chrII:650001-660000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,660001,670000,chrII:660001-670000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,780001,790000,chrII:780001-790000,111,0.0006108533786795662
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,790001,800000,chrII:790001-800000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrII,800001,810000,chrII:800001-810000,64,0.0003522037498692994
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,1,10000,chrIII:1-10000,11,6.053501950878583e-05
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,80001,90000,chrIII:80001-90000,3426,0.018853906985190932
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,90001,100000,chrIII:90001-100000,5,2.7515917958539016e-05
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,150001,160000,chrIII:150001-160000,140,0.0007704457028390924
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,190001,200000,chrIII:190001-200000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,250001,260000,chrIII:250001-260000,364,0.0020031588273816403
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,270001,280000,chrIII:270001-280000,29,0.00015959232415952627
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIII,280001,290000,chrIII:280001-290000,594,0.003268891053474435
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIV,1,10000,chrIV:1-10000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIV,30001,40000,chrIV:30001-40000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIV,60001,70000,chrIV:60001-70000,1,5.503183591707803e-06
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIV,90001,100000,chrIV:90001-100000,4141,0.022788683253262013
q1_q2_filtered,joey_4C_t0_altChr5,0,chrIV,120001,130000,chrIV:120001-130000,1,5.503183591707803e-06
