DSB,location_bin,ThreeC_TRANS_Freq
TRANS (PD fallback),chrXV:50001-60000,0.11490573630932112
TRANS (PD fallback),chrIII:280001-290000,0.07295842400641393
TRANS (PD fallback),chrXII:1070001-1080000,0.051929129389427196
TRANS (PD fallback),chrIV:1020001-1030000,0.0477664613193821
TRANS (PD fallback),chrXII:450001-460000,0.0398972231681268
TRANS (PD fallback),chrVII:730001-740000,0.03975275774179901
TRANS (PD fallback),chrXV:1030001-1040000,0.03951437406940786
TRANS (PD fallback),chrIV:290001-300000,0.03433530425450681
TRANS (PD fallback),chrVII:1080001-1090000,0.03236644687283947
TRANS (PD fallback),chrXII:620001-630000,0.03023708624441645
TRANS (PD fallback),chrIV:640001-650000,0.029520477974181964
TRANS (PD fallback),chrIII:250001-260000,0.029423479759361874
TRANS (PD fallback),chrIV:1210001-1220000,0.026915588134234336
TRANS (PD fallback),chrIV:1520001-1530000,0.02622838162867942
TRANS (PD fallback),chrIV:90001-100000,0.024616908646255764
TRANS (PD fallback),chrIV:1330001-1340000,0.020615216336975925
TRANS (PD fallback),chrIII:150001-160000,0.019928988661092658
TRANS (PD fallback),chrVII:360001-370000,0.019517279096884707
TRANS (PD fallback),chrXII:60001-70000,0.018644295163503907
TRANS (PD fallback),chrXV:880001-890000,0.01523307753980071
TRANS (PD fallback),chrXV:1080001-1090000,0.0050395143740694075
TRANS (PD fallback),chrXV:230001-240000,3.0956877070241155e-5
