batch,time_point,locus_id,pair_class,count_t,chrom,midpoint,y,chr_len,pos_mb,total_by_time,pct_of_time,time_label
4,0,3_L04,CIS,155163,III,291487.5,3,316620,0.2914875,966689,16.050973994738744,T0
4,0,4_L10_2,CIS,64908,IV,492439.5,4,1531933,0.4924395,966689,6.714465562347352,T0
4,0,3_L02,CIS,56551,III,37725.5,3,316620,0.0377255,966689,5.84996829383597,T0
4,0,12_L05,CIS,52843,XII,5947,12,1078177,0.005947,966689,5.466390948898767,T0
4,0,15_L01,CIS,52086,XV,321702.5,15,1091291,0.3217025,966689,5.388082413268383,T0
4,0,15_L17_2,CIS,49105,XV,756300,15,1091291,0.7563,966689,5.0797102273844015,T0
4,0,4_L12_2,CIS,47520,IV,914120,4,1531933,0.91412,966689,4.915748498224351,T0
4,0,7_L06,CIS,44531,VII,248317.5,7,1090940,0.2483175,966689,4.606548745253127,T0
4,0,12_L01,CIS,40406,XII,121861,12,1078177,0.121861,966689,4.179834465893374,T0
4,0,12_L12,CIS,39935,XII,949729,12,1078177,0.949729,966689,4.1311114536319335,T0
4,0,4_L03,CIS,39574,IV,130204,4,1531933,0.130204,966689,4.0937674888200855,T0
4,0,4_L15_2,CIS,39394,IV,1120420.5,4,1531933,1.1204205,966689,4.075147229357115,T0
4,0,4_L06_2,CIS,37974,IV,245056.5,4,1531933,0.2450565,966689,3.9282540713714544,T0
4,0,7_L09,CIS,36847,VII,84569,7,1090940,0.084569,966689,3.811670557956075,T0
4,0,4_L01,CIS,36191,IV,8248,4,1531933,0.008248,966689,3.7438100568021357,T0
4,0,7_L03,CIS,34751,VII,425184,7,1090940,0.425184,966689,3.5948479810983676,T0
4,0,12_L07,CIS,33612,XII,243617,12,1078177,0.243617,966689,3.477023117052123,T0
4,0,15_L15,CIS,32276,XV,538556,15,1091291,0.538556,966689,3.338819413482516,T0
4,0,4_L13,CIS,31686,IV,713166.5,4,1531933,0.7131665,966689,3.2777863407983334,T0
4,0,3_L03,CIS,15631,III,130512.5,3,316620,0.1305125,966689,1.616962642587223,T0
4,0,15_L18,CIS,7293,XV,906017.5,15,1091291,0.9060175,966689,0.7544308459080428,T0
4,0,3_L04,TRANS,3527,III,291487.5,3,316620,0.2914875,966689,0.36485363958832673,T0
4,0,12_L12,TRANS,1758,XII,949729,12,1078177,0.949729,966689,0.1818578674216837,T0
4,0,3_L02,TRANS,1597,III,37725.5,3,316620,0.0377255,966689,0.16520307979091517,T0
4,0,4_L03,TRANS,1295,IV,130204,4,1531933,0.130204,966689,0.133962422247486,T0
4,0,4_L06_2,TRANS,1029,IV,245056.5,4,1531933,0.2450565,966689,0.10644581659665105,T0
4,0,4_L01,TRANS,902,IV,8248,4,1531933,0.008248,966689,0.09330818908666592,T0
4,0,4_L10_2,TRANS,777,IV,492439.5,4,1531933,0.4924395,966689,0.0803774533484916,T0
4,0,7_L09,TRANS,777,VII,84569,7,1090940,0.084569,966689,0.0803774533484916,T0
4,0,4_L12_2,TRANS,761,IV,914120,4,1531933,0.91412,966689,0.0787223191740053,T0
