chrom,locus_id,coord_start,coord_end,midpoint,genes,hub_score,total_count_tpost
III,III_L02,37616,37835,37725.5,APA1; LRE1,0.7041196311766678,58684
III,III_L03,130281,130744,130512.5,SAT4; RVS161,0.7152496476463048,170060
III,III_L04,289797,293178,291487.5,Uncharacterized; HMRA2,0.5809314261678079,385045
IV,IV_L01,7814,8682,8248,SOR2; MPH2,0.823062453505023,118288
IV,IV_L03,130002,130406,130204,RPL41A; VMA1,0.6526042096242151,124581
IV,IV_L06_2,244981,245132,245056.5,YDL121C; UPB1,0.8209244697023151,147706
IV,IV_L10_2,492324,492555,492439.5,RPS11A; YDR026C,0.5901673851814572,119008
IV,IV_L12_2,913924,914316,914120,YDR214W; YDR215C,0.7416803889451874,128726
IV,IV_L13,712994,713339,713166.5,MTC6; SAC6,0.8255224280944762,90628
IV,IV_L15_2,1120233,1120608,1120420.5,YCG1; YDR326C,0.7671767893845555,131348
VII,VII_L03,425007,425361,425184,OCH1; Dubious ORF,0.7666393420914568,72954
VII,VII_L06,248142,248493,248317.5,Dubious ORF; FLC3,0.7324135568678212,185832
VII,VII_L09,84300,84838,84569,Dubious ORF,0.679891507904913,113750
XII,XII_L01,121648,122074,121861,PUF3; EMC6,0.7992236876875167,104659
XII,XII_L05,5775,6119,5947,Uncharacterized,0.5802512309490512,205892
XII,XII_L07,243349,243885,243617,RPS0B; MLO50,0.7221018439399671,111541
XII,XII_L12,949192,950266,949729,BER1; Uncharacterized,0.5742658105863051,190637
XV,XV_L01,321548,321857,321702.5,PFA4; SIN3,0.580840756402531,319904
XV,XV_L15,538454,538658,538556,CIM1; TRS33,0.7732810754808201,68928
XV,XV_L17_2,756125,756475,756300,YOR220W; MCT1,0.7601290498496133,151455
XV,XV_L18,905800,906235,906017.5,SFG1; COT1,0.6375983559785359,26286
