DSB,repair_mode,chromosome,location,localization,locus_idx,rank_fallback,idx_use,chr_len,max_idx,pos_bp,seg_half,x_start,x_end
ALL,Unknown repair context,CHRV,chrV:320001-330000,0.4848709404790652,NA,1,1,576874,19,30361.78947368421,8653.11,21708.67947368421,39014.899473684214
ALL,Unknown repair context,CHRV,chrV:110001-120000,0.4828758736320667,NA,2,2,576874,19,60723.57894736842,8653.11,52070.46894736842,69376.68894736841
ALL,Unknown repair context,CHRVII,chrVII:830001-840000,0.480880806785068,NA,1,1,1090940,38,28708.94736842105,16364.099999999999,12344.847368421051,45073.047368421045
ALL,Unknown repair context,CHRM,chrM:70001-80000,0.47888573993806943,NA,1,1,85779,6,14296.5,1286.685,13009.815,15583.185
ALL,Unknown repair context,CHRVIII,chrVIII:210001-220000,0.47489560624407234,NA,1,1,562643,13,43280.23076923077,8439.645,34840.585769230776,51719.87576923077
ALL,Unknown repair context,CHRII,chrII:110001-120000,0.4729005393970737,NA,1,1,813184,18,45176.88888888888,12197.76,32979.12888888888,57374.648888888885
ALL,Unknown repair context,CHRII,chrII:610001-620000,0.4709054725500752,NA,2,2,813184,18,90353.77777777777,12197.76,78156.01777777777,102551.53777777776
ALL,Unknown repair context,CHRIV,chrIV:90001-100000,0.4689104057030766,NA,1,1,1531933,31,49417.1935483871,22978.995,26438.1985483871,72396.1885483871
ALL,Unknown repair context,CHRIV,chrIV:700001-710000,0.46691533885607794,NA,2,2,1531933,31,98834.3870967742,22978.995,75855.3920967742,121813.38209677419
ALL,Unknown repair context,CHRXII,chrXII:810001-820000,0.46492027200907937,NA,1,1,1078177,30,35939.23333333333,16172.654999999999,19766.57833333333,52111.88833333333
ALL,Unknown repair context,CHRXII,chrXII:40001-50000,0.46292520516208086,NA,2,2,1078177,30,71878.46666666666,16172.654999999999,55705.81166666666,88051.12166666666
ALL,Unknown repair context,CHRIV,chrIV:440001-450000,0.4609301383150822,NA,3,3,1531933,31,148251.58064516127,22978.995,125272.58564516128,171230.57564516127
ALL,Unknown repair context,CHRVIII,chrVIII:340001-350000,0.45893507146808366,NA,2,2,562643,13,86560.46153846155,8439.645,78120.81653846154,95000.10653846155
ALL,Unknown repair context,CHRIII,chrIII:80001-90000,0.45694000462108514,NA,1,1,316620,8,39577.5,4749.3,34828.2,44326.8
ALL,Unknown repair context,CHRXIV,chrXIV:470001-480000,0.45494493777408657,NA,1,1,784333,25,31373.32,11764.994999999999,19608.325,43138.315
ALL,Unknown repair context,CHRIV,chrIV:1390001-1400000,0.4529498709270879,NA,4,4,1531933,31,197668.7741935484,22978.995,174689.7791935484,220647.7691935484
ALL,Unknown repair context,CHRVI,chrVI:140001-150000,0.45095480408008937,NA,1,1,270161,6,45026.83333333333,4052.415,40974.41833333333,49079.24833333333
ALL,Unknown repair context,CHRVII,chrVII:810001-820000,0.4489597372330908,NA,2,2,1090940,38,57417.8947368421,16364.099999999999,41053.7947368421,73781.9947368421
ALL,Unknown repair context,CHRV,chrV:60001-70000,0.44696467038609217,NA,3,3,576874,19,91085.36842105263,8653.11,82432.25842105263,99738.47842105263
ALL,Unknown repair context,CHRVII,chrVII:930001-940000,0.44496960353909365,NA,3,3,1090940,38,86126.84210526316,16364.099999999999,69762.74210526317,102490.94210526315
