filter_state,sample,time_point,chrom,bin_start,bin_end,bin_id,count,freq
non_filtered,joey_4C_t0_altChr5,0,4C_Viewport,1,10000,4C_Viewport:1-10000,27655,0.09790420221616455
non_filtered,joey_4C_t0_altChr5,0,chrI,10001,20000,chrI:10001-20000,9,3.186179063263355e-05
non_filtered,joey_4C_t0_altChr5,0,chrI,30001,40000,chrI:30001-40000,6,2.1241193755089035e-05
non_filtered,joey_4C_t0_altChr5,0,chrI,40001,50000,chrI:40001-50000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrI,70001,80000,chrI:70001-80000,63,0.00022303253442843487
non_filtered,joey_4C_t0_altChr5,0,chrI,80001,90000,chrI:80001-90000,1514,0.0053598612242008
non_filtered,joey_4C_t0_altChr5,0,chrI,100001,110000,chrI:100001-110000,25,8.850497397953765e-05
non_filtered,joey_4C_t0_altChr5,0,chrI,120001,130000,chrI:120001-130000,187,0.0006620172053669416
non_filtered,joey_4C_t0_altChr5,0,chrI,130001,140000,chrI:130001-140000,12,4.248238751017807e-05
non_filtered,joey_4C_t0_altChr5,0,chrI,180001,190000,chrI:180001-190000,2,7.080397918363012e-06
non_filtered,joey_4C_t0_altChr5,0,chrI,210001,220000,chrI:210001-220000,29,0.00010266576981626368
non_filtered,joey_4C_t0_altChr5,0,chrII,1,10000,chrII:1-10000,20,7.080397918363011e-05
non_filtered,joey_4C_t0_altChr5,0,chrII,30001,40000,chrII:30001-40000,49,0.0001734697489998938
non_filtered,joey_4C_t0_altChr5,0,chrII,50001,60000,chrII:50001-60000,1851,0.006552908273444968
non_filtered,joey_4C_t0_altChr5,0,chrII,60001,70000,chrII:60001-70000,29,0.00010266576981626368
non_filtered,joey_4C_t0_altChr5,0,chrII,70001,80000,chrII:70001-80000,2349,0.008315927355117358
non_filtered,joey_4C_t0_altChr5,0,chrII,110001,120000,chrII:110001-120000,4886,0.017297412114560838
non_filtered,joey_4C_t0_altChr5,0,chrII,140001,150000,chrII:140001-150000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,230001,240000,chrII:230001-240000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,280001,290000,chrII:280001-290000,188,0.0006655574043261231
non_filtered,joey_4C_t0_altChr5,0,chrII,300001,310000,chrII:300001-310000,324,0.001147024462774808
non_filtered,joey_4C_t0_altChr5,0,chrII,350001,360000,chrII:350001-360000,2,7.080397918363012e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,400001,410000,chrII:400001-410000,298,0.0010549792898360889
non_filtered,joey_4C_t0_altChr5,0,chrII,440001,450000,chrII:440001-450000,314,0.0011116224731829928
non_filtered,joey_4C_t0_altChr5,0,chrII,470001,480000,chrII:470001-480000,232,0.0008213261585301094
non_filtered,joey_4C_t0_altChr5,0,chrII,520001,530000,chrII:520001-530000,13,4.602258646935958e-05
non_filtered,joey_4C_t0_altChr5,0,chrII,530001,540000,chrII:530001-540000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,540001,550000,chrII:540001-550000,64,0.0002265727333876164
non_filtered,joey_4C_t0_altChr5,0,chrII,560001,570000,chrII:560001-570000,207,0.0007328211845505717
non_filtered,joey_4C_t0_altChr5,0,chrII,580001,590000,chrII:580001-590000,5,1.770099479590753e-05
non_filtered,joey_4C_t0_altChr5,0,chrII,610001,620000,chrII:610001-620000,4703,0.016649555705030624
non_filtered,joey_4C_t0_altChr5,0,chrII,640001,650000,chrII:640001-650000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,650001,660000,chrII:650001-660000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,660001,670000,chrII:660001-670000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,780001,790000,chrII:780001-790000,112,0.0003965022834283287
non_filtered,joey_4C_t0_altChr5,0,chrII,790001,800000,chrII:790001-800000,1,3.540198959181506e-06
non_filtered,joey_4C_t0_altChr5,0,chrII,800001,810000,chrII:800001-810000,64,0.0002265727333876164
