filter_state,sample,chrom,reads,pct_reads_within_sample
non_filtered,joey_4C_t0_altChr5,chrV_minusURA3_minusILV1,73984,26.191807979608456
non_filtered,joey_4C_t0_altChr5,chrVII,38855,13.755443055899741
non_filtered,joey_4C_t0_altChr5,4C_Viewport,27655,9.790420221616454
non_filtered,joey_4C_t0_altChr5,chrIV,25327,8.966261903919
non_filtered,joey_4C_t0_altChr5,chrXII,19714,6.979148228130421
non_filtered,joey_4C_t0_altChr5,chrII,15717,5.564130704145573
non_filtered,joey_4C_t0_altChr5,chrVIII,14637,5.1817892165539705
non_filtered,joey_4C_t0_altChr5,chrXIII,11831,4.1884093886076394
non_filtered,joey_4C_t0_altChr5,chrXIV,9991,3.5370127801182427
non_filtered,joey_4C_t0_altChr5,chrXV,8900,3.15077707367154
non_filtered,joey_4C_t0_altChr5,chrXVI,8268,2.927036499451269
non_filtered,joey_4C_t0_altChr5,chrXI,6908,2.4455694410025846
non_filtered,joey_4C_t120_altChr5,chrV_minusURA3_minusILV1,320962,38.54047589314018
non_filtered,joey_4C_t120_altChr5,4C_Viewport,110052,13.214824349897693
non_filtered,joey_4C_t120_altChr5,chrIV,72464,8.701332385517633
non_filtered,joey_4C_t120_altChr5,chrVII,71003,8.525898423615981
non_filtered,joey_4C_t120_altChr5,chrVIII,44531,5.347193536921584
non_filtered,joey_4C_t120_altChr5,chrXV,42396,5.090827001219992
non_filtered,joey_4C_t120_altChr5,chrXIII,26828,3.221452655645107
non_filtered,joey_4C_t120_altChr5,chrXII,24444,2.935186697278552
non_filtered,joey_4C_t120_altChr5,chrXI,21312,2.559102392914437
non_filtered,joey_4C_t120_altChr5,chrIII,19594,2.3528083843264587
non_filtered,joey_4C_t120_altChr5,chrX,18926,2.272596278542541
non_filtered,joey_4C_t120_altChr5,chrXVI,17718,2.127542051316535
