batch,DSB2_loci,time_point,replicate,alignment_name,cis_trans,DSB,combo,repeat,allele,count
6,chr4,0,1,CIS_DSB1_FULL_CHRIII_L02,CIS,DSB1,A_to_B,INTACT,CHRIII_L02,51283
6,chr4,0,1,CIS_DSB1_FULL_CHRIII_L03,CIS,DSB1,A_to_B,INTACT,CHRIII_L03,38174
6,chr4,0,1,CIS_DSB1_FULL_CHRIII_L04,CIS,DSB1,A_to_B,INTACT,CHRIII_L04,228463
6,chr4,0,1,CIS_DSB1_FULL_CHRIV_L01,CIS,DSB1,A_to_B,INTACT,CHRIV_L01,49541
6,chr4,0,1,CIS_DSB1_FULL_CHRIV_L03,CIS,DSB1,A_to_B,INTACT,CHRIV_L03,32857
6,chr4,0,1,CIS_DSB1_FULL_CHRIV_L06_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L06_2,54088
6,chr4,0,1,CIS_DSB1_FULL_CHRIV_L10_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L10_2,39551
6,chr4,0,1,CIS_DSB1_FULL_CHRIV_L12_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L12_2,44777
6,chr4,0,1,CIS_DSB1_FULL_CHRIV_L13,CIS,DSB1,A_to_B,INTACT,CHRIV_L13,29708
6,chr4,0,1,CIS_DSB1_FULL_CHRIV_L15_2,CIS,DSB1,A_to_B,INTACT,CHRIV_L15_2,51410
6,chr4,0,1,CIS_DSB1_FULL_CHRVII_990K,CIS,DSB1,A_to_B,INTACT,CHRVII_990K,55756
6,chr4,0,1,CIS_DSB1_FULL_CHRVII_L03,CIS,DSB1,A_to_B,INTACT,CHRVII_L03,25406
6,chr4,0,1,CIS_DSB1_FULL_CHRVII_L06,CIS,DSB1,A_to_B,INTACT,CHRVII_L06,37751
6,chr4,0,1,CIS_DSB1_FULL_CHRVII_L09,CIS,DSB1,A_to_B,INTACT,CHRVII_L09,47770
6,chr4,0,1,CIS_DSB1_FULL_CHRXII_L01,CIS,DSB1,A_to_B,INTACT,CHRXII_L01,36766
6,chr4,0,1,CIS_DSB1_FULL_CHRXII_L05,CIS,DSB1,A_to_B,INTACT,CHRXII_L05,115878
6,chr4,0,1,CIS_DSB1_FULL_CHRXII_L07,CIS,DSB1,A_to_B,INTACT,CHRXII_L07,37186
6,chr4,0,1,CIS_DSB1_FULL_CHRXII_L12,CIS,DSB1,A_to_B,INTACT,CHRXII_L12,43616
6,chr4,0,1,CIS_DSB1_FULL_CHRXV_L01,CIS,DSB1,A_to_B,INTACT,CHRXV_L01,51209
6,chr4,0,1,CIS_DSB1_FULL_CHRXV_L04,CIS,DSB1,A_to_B,INTACT,CHRXV_L04,58
6,chr4,0,1,CIS_DSB1_FULL_CHRXV_L15,CIS,DSB1,A_to_B,INTACT,CHRXV_L15,39981
6,chr4,0,1,CIS_DSB1_FULL_CHRXV_L17_2,CIS,DSB1,A_to_B,INTACT,CHRXV_L17_2,50534
6,chr4,0,1,CIS_DSB1_FULL_CHRXV_L18_1PERCENT_CONTROL,CIS,DSB1,A_to_B,INTACT,CHRXV_L18_1PERCENT_CONTROL,7649
6,chr4,0,1,CIS_DSB1_FULL_DSB2_COMMON,CIS,DSB1,A_to_B,INTACT,COMMON,170
6,chr4,0,1,CIS_DSB1_FULL_DSB2_NO_CUT,CIS,DSB1,A_to_B,INTACT,NO_CUT,36
6,chr4,0,1,CIS_DSB1_FULL_NO_CUT,CIS,DSB1,A_to_B,INTACT,NO_CUT,23961
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIII_L02,CIS,DSB1,A_to_B,SSA,CHRIII_L02,1267
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIII_L03,CIS,DSB1,A_to_B,SSA,CHRIII_L03,877
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIII_L04,CIS,DSB1,A_to_B,SSA,CHRIII_L04,5996
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIV_L01,CIS,DSB1,A_to_B,SSA,CHRIV_L01,1356
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIV_L03,CIS,DSB1,A_to_B,SSA,CHRIV_L03,768
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIV_L06_2,CIS,DSB1,A_to_B,SSA,CHRIV_L06_2,1373
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIV_L10_2,CIS,DSB1,A_to_B,SSA,CHRIV_L10_2,1053
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIV_L12_2,CIS,DSB1,A_to_B,SSA,CHRIV_L12_2,1127
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIV_L13,CIS,DSB1,A_to_B,SSA,CHRIV_L13,730
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRIV_L15_2,CIS,DSB1,A_to_B,SSA,CHRIV_L15_2,1259
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRVII_990K,CIS,DSB1,A_to_B,SSA,CHRVII_990K,1365
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRVII_L03,CIS,DSB1,A_to_B,SSA,CHRVII_L03,682
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRVII_L06,CIS,DSB1,A_to_B,SSA,CHRVII_L06,960
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRVII_L09,CIS,DSB1,A_to_B,SSA,CHRVII_L09,1171
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXII_L01,CIS,DSB1,A_to_B,SSA,CHRXII_L01,874
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXII_L05,CIS,DSB1,A_to_B,SSA,CHRXII_L05,2963
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXII_L07,CIS,DSB1,A_to_B,SSA,CHRXII_L07,926
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXII_L12,CIS,DSB1,A_to_B,SSA,CHRXII_L12,1071
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXV_L01,CIS,DSB1,A_to_B,SSA,CHRXV_L01,1248
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXV_L04,CIS,DSB1,A_to_B,SSA,CHRXV_L04,3
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXV_L15,CIS,DSB1,A_to_B,SSA,CHRXV_L15,974
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXV_L17_2,CIS,DSB1,A_to_B,SSA,CHRXV_L17_2,1213
6,chr4,0,1,CIS_DSB1_NO_REPEAT_CHRXV_L18_1PERCENT_CONTROL,CIS,DSB1,A_to_B,SSA,CHRXV_L18_1PERCENT_CONTROL,187
