batch,time_point,locus_id,pair_class,count_t,chrom,midpoint,y,chr_len,pos_mb,total_by_class_time,pct_of_class_time,time_label
4,0,3_L04,CIS,155163,III,291487.5,3,316620,0.2914875,948403,16.360450146193127,T0
4,0,4_L10_2,CIS,64908,IV,492439.5,4,1531933,0.4924395,948403,6.84392605253252,T0
4,0,3_L02,CIS,56551,III,37725.5,3,316620,0.0377255,948403,5.962760556430125,T0
4,0,12_L05,CIS,52843,XII,5947,12,1078177,0.005947,948403,5.57178752070586,T0
4,0,15_L01,CIS,52086,XV,321702.5,15,1091291,0.3217025,948403,5.491969131265928,T0
4,0,15_L17_2,CIS,49105,XV,756300,15,1091291,0.7563,948403,5.177651272718454,T0
4,0,4_L12_2,CIS,47520,IV,914120,4,1531933,0.91412,948403,5.010528224815822,T0
4,0,7_L06,CIS,44531,VII,248317.5,7,1090940,0.2483175,948403,4.695366842998177,T0
4,0,12_L01,CIS,40406,XII,121861,12,1078177,0.121861,948403,4.260425156816248,T0
4,0,12_L12,CIS,39935,XII,949729,12,1078177,0.949729,948403,4.21076272428493,T0
4,0,4_L03,CIS,39574,IV,130204,4,1531933,0.130204,948403,4.172698736718463,T0
4,0,4_L15_2,CIS,39394,IV,1120420.5,4,1531933,1.1204205,948403,4.153719463139614,T0
4,0,4_L06_2,CIS,37974,IV,245056.5,4,1531933,0.2450565,948403,4.00399408268426,T0
4,0,7_L09,CIS,36847,VII,84569,7,1090940,0.084569,948403,3.885162741998918,T0
4,0,4_L01,CIS,36191,IV,8248,4,1531933,0.008248,948403,3.815993833844895,T0
4,0,7_L03,CIS,34751,VII,425184,7,1090940,0.425184,948403,3.6641596452141125,T0
4,0,12_L07,CIS,33612,XII,243617,12,1078177,0.243617,948403,3.5440630196235143,T0
4,0,15_L15,CIS,32276,XV,538556,15,1091291,0.538556,948403,3.403194633504955,T0
4,0,4_L13,CIS,31686,IV,713166.5,4,1531933,0.7131665,948403,3.340984792329843,T0
4,0,3_L03,CIS,15631,III,130512.5,3,316620,0.1305125,948403,1.6481390295053895,T0
4,0,15_L18,CIS,7293,XV,906017.5,15,1091291,0.9060175,948403,0.7689769011696505,T0
4,0,15_L04,CIS,126,XV,240148.5,15,1091291,0.2401485,948403,0.013285491505193467,T0
4,0,3_L04,TRANS,3527,III,291487.5,3,316620,0.2914875,18286,19.28797987531445,T0
4,0,12_L12,TRANS,1758,XII,949729,12,1078177,0.949729,18286,9.613912282620584,T0
4,0,3_L02,TRANS,1597,III,37725.5,3,316620,0.0377255,18286,8.733457289729849,T0
4,0,4_L03,TRANS,1295,IV,130204,4,1531933,0.130204,18286,7.081920594990703,T0
4,0,4_L06_2,TRANS,1029,IV,245056.5,4,1531933,0.2450565,18286,5.627255824127748,T0
4,0,4_L01,TRANS,902,IV,8248,4,1531933,0.008248,18286,4.932735426008969,T0
4,0,4_L10_2,TRANS,777,IV,492439.5,4,1531933,0.4924395,18286,4.249152356994422,T0
4,0,7_L09,TRANS,777,VII,84569,7,1090940,0.084569,18286,4.249152356994422,T0
4,0,4_L12_2,TRANS,761,IV,914120,4,1531933,0.91412,18286,4.16165372416056,T0
4,0,4_L13,TRANS,755,IV,713166.5,4,1531933,0.7131665,18286,4.128841736847861,T0
4,0,15_L15,TRANS,743,XV,538556,15,1091291,0.538556,18286,4.0632177622224654,T0
4,0,15_L01,TRANS,717,XV,321702.5,15,1091291,0.3217025,18286,3.9210324838674397,T0
4,0,7_L03,TRANS,585,VII,425184,7,1090940,0.425184,18286,3.1991687629880783,T0
4,0,12_L05,TRANS,581,XII,5947,12,1078177,0.005947,18286,3.177294104779613,T0
4,0,12_L07,TRANS,522,XII,243617,12,1078177,0.243617,18286,2.854642896204747,T0
4,0,15_L17_2,TRANS,503,XV,756300,15,1091291,0.7563,18286,2.7507382697145357,T0
