filter_state_x,sample,chrom,reads_non_filtered,pct_non_filtered,filter_state_y,reads_q1_q2_filtered,pct_q1_q2_filtered,read_delta_filtered_minus_non_filtered,pct_point_delta_filtered_minus_non_filtered
non_filtered,joey_4C_t0_altChr5,chrVII,38855,13.755443055899741,q1_q2_filtered,34178,18.80878087973893,-4677,5.053337823839188
non_filtered,joey_4C_t0_altChr5,chrIV,25327,8.966261903919,q1_q2_filtered,24314,13.380440584878352,-1013,4.414178680959353
non_filtered,joey_4C_t0_altChr5,chrXII,19714,6.979148228130421,q1_q2_filtered,18917,10.410372400433651,-797,3.4312241723032306
non_filtered,joey_4C_t0_altChr5,chrII,15717,5.564130704145573,q1_q2_filtered,15488,8.523330746837045,-229,2.9592000426914717
non_filtered,joey_4C_t0_altChr5,chrVIII,14637,5.1817892165539705,q1_q2_filtered,14435,7.943845514630214,-202,2.762056298076243
non_filtered,joey_4C_t0_altChr5,chrV_minusURA3_minusILV1,73984,26.191807979608456,q1_q2_filtered,13099,7.2086201867780515,-60885,-18.983187792830403
non_filtered,joey_4C_t0_altChr5,chrXIII,11831,4.1884093886076394,q1_q2_filtered,11624,6.39690060700115,-207,2.208491218393511
non_filtered,joey_4C_t0_altChr5,chrXV,8900,3.15077707367154,q1_q2_filtered,8801,4.843351879062038,-99,1.6925748053904974
non_filtered,joey_4C_t0_altChr5,chrXVI,8268,2.927036499451269,q1_q2_filtered,7908,4.35191758432253,-360,1.4248810848712612
non_filtered,joey_4C_t0_altChr5,chrXI,6908,2.4455694410025846,q1_q2_filtered,6819,3.752620891185551,-89,1.3070514501829664
,joey_4C_t0_altChr5,chrX,0,0.0,q1_q2_filtered,6447,3.5479024615740204,6447,3.5479024615740204
non_filtered,joey_4C_t0_altChr5,chrXIV,9991,3.5370127801182427,q1_q2_filtered,5929,3.2628375515235564,-4062,-0.27417522859468635
non_filtered,joey_4C_t0_altChr5,4C_Viewport,27655,9.790420221616454,,0,0.0,-27655,-9.790420221616454
non_filtered,joey_4C_t120_altChr5,chrIV,72464,8.701332385517633,q1_q2_filtered,69913,17.208930241717127,-2551,8.507597856199494
non_filtered,joey_4C_t120_altChr5,chrVII,71003,8.525898423615981,q1_q2_filtered,63088,15.528971594545364,-7915,7.003073170929383
non_filtered,joey_4C_t120_altChr5,chrVIII,44531,5.347193536921584,q1_q2_filtered,42278,10.406636144341062,-2253,5.059442607419478
non_filtered,joey_4C_t120_altChr5,chrXV,42396,5.090827001219992,q1_q2_filtered,37897,9.328262688918427,-4499,4.237435687698435
non_filtered,joey_4C_t120_altChr5,chrV_minusURA3_minusILV1,320962,38.54047589314018,q1_q2_filtered,36528,8.99128636833555,-284434,-29.549189524804632
non_filtered,joey_4C_t120_altChr5,chrXIII,26828,3.221452655645107,q1_q2_filtered,22462,5.528971594545365,-4366,2.3075189389002584
non_filtered,joey_4C_t120_altChr5,chrXII,24444,2.935186697278552,q1_q2_filtered,21923,5.396297937281544,-2521,2.4611112400029915
non_filtered,joey_4C_t120_altChr5,chrXI,21312,2.559102392914437,q1_q2_filtered,20131,4.955201102742087,-1181,2.3960987098276494
non_filtered,joey_4C_t120_altChr5,chrIII,19594,2.3528083843264587,q1_q2_filtered,19339,4.760252055334022,-255,2.4074436710075635
non_filtered,joey_4C_t120_altChr5,chrXVI,17718,2.127542051316535,q1_q2_filtered,17380,4.278048540343622,-338,2.1505064890270873
,joey_4C_t120_altChr5,chrXIV,0,0.0,q1_q2_filtered,16863,4.150790134396692,16863,4.150790134396692
,joey_4C_t120_altChr5,chrII,0,0.0,q1_q2_filtered,15470,3.8079062669226604,15470,3.8079062669226604
non_filtered,joey_4C_t120_altChr5,4C_Viewport,110052,13.214824349897693,,0,0.0,-110052,-13.214824349897693
non_filtered,joey_4C_t120_altChr5,chrX,18926,2.272596278542541,,0,0.0,-18926,-2.272596278542541
