filter_state,sample,chrom,reads,pct_reads_within_sample
q1_q2_filtered,joey_4C_t0_altChr5,chrVII,34178,18.80878087973893
q1_q2_filtered,joey_4C_t0_altChr5,chrIV,24314,13.380440584878352
q1_q2_filtered,joey_4C_t0_altChr5,chrXII,18917,10.410372400433651
q1_q2_filtered,joey_4C_t0_altChr5,chrII,15488,8.523330746837045
q1_q2_filtered,joey_4C_t0_altChr5,chrVIII,14435,7.943845514630214
q1_q2_filtered,joey_4C_t0_altChr5,chrV_minusURA3_minusILV1,13099,7.2086201867780515
q1_q2_filtered,joey_4C_t0_altChr5,chrXIII,11624,6.39690060700115
q1_q2_filtered,joey_4C_t0_altChr5,chrXV,8801,4.843351879062038
q1_q2_filtered,joey_4C_t0_altChr5,chrXVI,7908,4.35191758432253
q1_q2_filtered,joey_4C_t0_altChr5,chrXI,6819,3.752620891185551
q1_q2_filtered,joey_4C_t0_altChr5,chrX,6447,3.5479024615740204
q1_q2_filtered,joey_4C_t0_altChr5,chrXIV,5929,3.2628375515235564
q1_q2_filtered,joey_4C_t120_altChr5,chrIV,69913,17.208930241717127
q1_q2_filtered,joey_4C_t120_altChr5,chrVII,63088,15.528971594545364
q1_q2_filtered,joey_4C_t120_altChr5,chrVIII,42278,10.406636144341062
q1_q2_filtered,joey_4C_t120_altChr5,chrXV,37897,9.328262688918427
q1_q2_filtered,joey_4C_t120_altChr5,chrV_minusURA3_minusILV1,36528,8.99128636833555
q1_q2_filtered,joey_4C_t120_altChr5,chrXIII,22462,5.528971594545365
q1_q2_filtered,joey_4C_t120_altChr5,chrXII,21923,5.396297937281544
q1_q2_filtered,joey_4C_t120_altChr5,chrXI,20131,4.955201102742087
q1_q2_filtered,joey_4C_t120_altChr5,chrIII,19339,4.760252055334022
q1_q2_filtered,joey_4C_t120_altChr5,chrXVI,17380,4.278048540343622
q1_q2_filtered,joey_4C_t120_altChr5,chrXIV,16863,4.150790134396692
q1_q2_filtered,joey_4C_t120_altChr5,chrII,15470,3.8079062669226604
