sample,chrom,reads
batch4_2_4C_t0,chrV,105651
batch4_2_4C_t0,chrVII,37929
batch4_2_4C_t0,chrIV,25159
batch4_2_4C_t0,chrXII,19520
batch4_2_4C_t0,chrII,15650
batch4_2_4C_t0,chrVIII,14610
batch4_2_4C_t0,chrXIII,11784
batch4_2_4C_t0,chrXIV,9579
batch4_2_4C_t0,chrM,9206
batch4_2_4C_t0,chrXV,8825
batch4_2_4C_t0,chrXVI,8199
batch4_2_4C_t0,chrXI,6900
batch4_2_4C_t0,chrX,6535
batch4_2_4C_t0,4C_Viewport,5991
batch4_2_4C_t0,chrIII,4662
batch4_2_4C_t0,chrIX,4458
batch4_2_4C_t0,chrVI,3133
batch4_2_4C_t0,chrI,1839
