chrom_norm,bin_id,chr_len,x_start,x_end,pos_bp,PD_TRANS_Freq
CHRXV,chrXV:50001-60000,1091291,50001,60000,55000.5,0.11490573630932112
CHRXII,chrXII:1070001-1080000,1078177,1070001,1078177,1075000.5,0.051929129389427196
CHRIII,chrIII:280001-290000,316620,280001,290000,285000.5,0.05048241133434459
CHRIV,chrIV:1020001-1030000,1531933,1020001,1030000,1025000.5,0.0477664613193821
CHRXII,chrXII:450001-460000,1078177,450001,460000,455000.5,0.0398972231681268
CHRVII,chrVII:730001-740000,1090940,730001,740000,735000.5,0.03975275774179901
CHRIV,chrIV:290001-300000,1531933,290001,300000,295000.5,0.03433530425450681
CHRVII,chrVII:1080001-1090000,1090940,1080001,1090000,1085000.5,0.03236644687283947
CHRIV,chrIV:640001-650000,1531933,640001,650000,645000.5,0.029520477974181964
CHRIII,chrIII:250001-260000,316620,250001,260000,255000.5,0.029423479759361874
CHRXII,chrXII:620001-630000,1078177,620001,630000,625000.5,0.028154247799481988
CHRXV,chrXV:1030001-1040000,1091291,1030001,1040000,1035000.5,0.025264939272926147
CHRIV,chrIV:90001-100000,1531933,90001,100000,95000.5,0.024616908646255764
CHRIV,chrIV:1520001-1530000,1531933,1520001,1530000,1525000.5,0.021349926219442983
CHRIV,chrIV:1330001-1340000,1531933,1330001,1340000,1335000.5,0.020615216336975925
CHRVII,chrVII:360001-370000,1090940,360001,370000,365000.5,0.019517279096884707
CHRIV,chrIV:1210001-1220000,1531933,1210001,1220000,1215000.5,0.019187072408135466
CHRXII,chrXII:60001-70000,1078177,60001,70000,65000.5,0.018644295163503907
CHRXV,chrXV:880001-890000,1091291,880001,890000,885000.5,0.013651982787976349
CHRIII,chrIII:150001-160000,316620,150001,160000,155000.5,0.01192252525565221
CHRXV,chrXV:1080001-1090000,1091291,1080001,1090000,1085000.5,4.7054453146766554e-4
CHRXV,chrXV:230001-240000,1091291,230001,240000,235000.5,3.0956877070241155e-5
