batch,DSB2_loci,time_point,replicate,alignment_name,cis_trans,DSB,combo,allele,count
4,7,0,2,CIS_A_to_B_DSB1_Chr12_L01,CIS,DSB1,A_to_B,Chr12_L01,17041
4,7,0,2,CIS_A_to_B_DSB1_Chr12_L05,CIS,DSB1,A_to_B,Chr12_L05,37724
4,7,0,2,CIS_A_to_B_DSB1_Chr12_L07,CIS,DSB1,A_to_B,Chr12_L07,14131
4,7,0,2,CIS_A_to_B_DSB1_Chr12_L12,CIS,DSB1,A_to_B,Chr12_L12,17156
4,7,0,2,CIS_A_to_B_DSB1_Chr15_L01,CIS,DSB1,A_to_B,Chr15_L01,24218
4,7,0,2,CIS_A_to_B_DSB1_Chr15_L04,CIS,DSB1,A_to_B,Chr15_L04,72
4,7,0,2,CIS_A_to_B_DSB1_Chr15_L15,CIS,DSB1,A_to_B,Chr15_L15,17820
4,7,0,2,CIS_A_to_B_DSB1_Chr15_L17_2,CIS,DSB1,A_to_B,Chr15_L17_2,20767
4,7,0,2,CIS_A_to_B_DSB1_Chr15_L18,CIS,DSB1,A_to_B,Chr15_L18,2604
4,7,0,2,CIS_A_to_B_DSB1_Chr3_L02,CIS,DSB1,A_to_B,Chr3_L02,29882
4,7,0,2,CIS_A_to_B_DSB1_Chr3_L03,CIS,DSB1,A_to_B,Chr3_L03,15612
4,7,0,2,CIS_A_to_B_DSB1_Chr3_L04,CIS,DSB1,A_to_B,Chr3_L04,116844
4,7,0,2,CIS_A_to_B_DSB1_Chr4_L01,CIS,DSB1,A_to_B,Chr4_L01,19999
4,7,0,2,CIS_A_to_B_DSB1_Chr4_L03,CIS,DSB1,A_to_B,Chr4_L03,20187
4,7,0,2,CIS_A_to_B_DSB1_Chr4_L06_2,CIS,DSB1,A_to_B,Chr4_L06_2,19544
4,7,0,2,CIS_A_to_B_DSB1_Chr4_L10_2,CIS,DSB1,A_to_B,Chr4_L10_2,19568
4,7,0,2,CIS_A_to_B_DSB1_Chr4_L12_2,CIS,DSB1,A_to_B,Chr4_L12_2,24938
4,7,0,2,CIS_A_to_B_DSB1_Chr4_L13,CIS,DSB1,A_to_B,Chr4_L13,11943
4,7,0,2,CIS_A_to_B_DSB1_Chr4_L15_2,CIS,DSB1,A_to_B,Chr4_L15_2,17700
4,7,0,2,CIS_A_to_B_DSB1_Chr7_990K,CIS,DSB1,A_to_B,Chr7_990K,18747
4,7,0,2,CIS_A_to_B_DSB1_Chr7_L03,CIS,DSB1,A_to_B,Chr7_L03,9938
4,7,0,2,CIS_A_to_B_DSB1_Chr7_L06,CIS,DSB1,A_to_B,Chr7_L06,17166
4,7,0,2,CIS_A_to_B_DSB1_Chr7_L09,CIS,DSB1,A_to_B,Chr7_L09,17352
4,7,0,2,CIS_A_to_B_DSB1_UNCUTTABLE,CIS,DSB1,A_to_B,UNCUTTABLE,35267
4,7,0,2,CIS_C_to_D_DSB2_Chr7,CIS,DSB2,C_to_D,Chr7,17471
4,7,0,2,CIS_C_to_D_DSB2_UNCUTTABLE,CIS,DSB2,C_to_D,UNCUTTABLE,24272
4,7,0,2,TRANS_A_to_D_Chr12_L01,TRANS,TRANS,A_to_D,Chr12_L01,249
4,7,0,2,TRANS_A_to_D_Chr12_L05,TRANS,TRANS,A_to_D,Chr12_L05,413
4,7,0,2,TRANS_A_to_D_Chr12_L07,TRANS,TRANS,A_to_D,Chr12_L07,421
4,7,0,2,TRANS_A_to_D_Chr12_L12,TRANS,TRANS,A_to_D,Chr12_L12,1435
4,7,0,2,TRANS_A_to_D_Chr15_L01,TRANS,TRANS,A_to_D,Chr15_L01,564
4,7,0,2,TRANS_A_to_D_Chr15_L04,TRANS,TRANS,A_to_D,Chr15_L04,13
4,7,0,2,TRANS_A_to_D_Chr15_L15,TRANS,TRANS,A_to_D,Chr15_L15,594
4,7,0,2,TRANS_A_to_D_Chr15_L17_2,TRANS,TRANS,A_to_D,Chr15_L17_2,444
4,7,0,2,TRANS_A_to_D_Chr15_L18,TRANS,TRANS,A_to_D,Chr15_L18,40
4,7,0,2,TRANS_A_to_D_Chr3_L02,TRANS,TRANS,A_to_D,Chr3_L02,1280
4,7,0,2,TRANS_A_to_D_Chr3_L03,TRANS,TRANS,A_to_D,Chr3_L03,235
4,7,0,2,TRANS_A_to_D_Chr3_L04,TRANS,TRANS,A_to_D,Chr3_L04,3255
4,7,0,2,TRANS_A_to_D_Chr4_L01,TRANS,TRANS,A_to_D,Chr4_L01,708
4,7,0,2,TRANS_A_to_D_Chr4_L03,TRANS,TRANS,A_to_D,Chr4_L03,477
4,7,0,2,TRANS_A_to_D_Chr4_L06_2,TRANS,TRANS,A_to_D,Chr4_L06_2,791
4,7,0,2,TRANS_A_to_D_Chr4_L10_2,TRANS,TRANS,A_to_D,Chr4_L10_2,262
4,7,0,2,TRANS_A_to_D_Chr4_L12_2,TRANS,TRANS,A_to_D,Chr4_L12_2,219
4,7,0,2,TRANS_A_to_D_Chr4_L13,TRANS,TRANS,A_to_D,Chr4_L13,658
4,7,0,2,TRANS_A_to_D_Chr4_L15_2,TRANS,TRANS,A_to_D,Chr4_L15_2,272
4,7,0,2,TRANS_A_to_D_Chr7_990K,TRANS,TRANS,A_to_D,Chr7_990K,326
4,7,0,2,TRANS_A_to_D_Chr7_L03,TRANS,TRANS,A_to_D,Chr7_L03,427
4,7,0,2,TRANS_A_to_D_Chr7_L06,TRANS,TRANS,A_to_D,Chr7_L06,149
4,7,0,2,TRANS_A_to_D_Chr7_L09,TRANS,TRANS,A_to_D,Chr7_L09,720
4,7,0,2,TRANS_A_to_D_UNCUTTABLE,TRANS,TRANS,A_to_D,UNCUTTABLE,647
4,7,0,2,TRANS_C_to_B_Chr12_L01,TRANS,TRANS,C_to_B,Chr12_L01,13
4,7,0,2,TRANS_C_to_B_Chr12_L05,TRANS,TRANS,C_to_B,Chr12_L05,47
4,7,0,2,TRANS_C_to_B_Chr12_L07,TRANS,TRANS,C_to_B,Chr12_L07,30
4,7,0,2,TRANS_C_to_B_Chr12_L12,TRANS,TRANS,C_to_B,Chr12_L12,66
4,7,0,2,TRANS_C_to_B_Chr15_L01,TRANS,TRANS,C_to_B,Chr15_L01,66
4,7,0,2,TRANS_C_to_B_Chr15_L04,TRANS,TRANS,C_to_B,Chr15_L04,4
4,7,0,2,TRANS_C_to_B_Chr15_L15,TRANS,TRANS,C_to_B,Chr15_L15,120
4,7,0,2,TRANS_C_to_B_Chr15_L17_2,TRANS,TRANS,C_to_B,Chr15_L17_2,8
4,7,0,2,TRANS_C_to_B_Chr15_L18,TRANS,TRANS,C_to_B,Chr15_L18,1
4,7,0,2,TRANS_C_to_B_Chr3_L02,TRANS,TRANS,C_to_B,Chr3_L02,51
4,7,0,2,TRANS_C_to_B_Chr3_L03,TRANS,TRANS,C_to_B,Chr3_L03,13
4,7,0,2,TRANS_C_to_B_Chr3_L04,TRANS,TRANS,C_to_B,Chr3_L04,75
4,7,0,2,TRANS_C_to_B_Chr4_L01,TRANS,TRANS,C_to_B,Chr4_L01,64
4,7,0,2,TRANS_C_to_B_Chr4_L03,TRANS,TRANS,C_to_B,Chr4_L03,154
