batch,locus_id,count_t,chrom,midpoint,y,chr_len,batch_total,pct_of_batch,pos_mb
4,3_L04,124104,III,291487.5,3,316620,724927,17.1195168616978,0.2914875
4,4_L10_2,53986,IV,492439.5,4,1531933,724927,7.447094672980866,0.4924395
4,3_L02,53470,III,37725.5,3,316620,724927,7.375915092140312,0.0377255
4,7_L06,43400,VII,248317.5,7,1090940,724927,5.98680970635664,0.2483175
4,4_L12_2,42528,IV,914120,4,1531933,724927,5.8665217325330685,0.91412
4,15_L01,35259,XV,321702.5,15,1091291,724927,4.863800079180386,0.3217025
4,15_L17_2,34245,XV,756300,15,1091291,724927,4.723923926133252,0.7563
4,12_L12,32866,XII,949729,12,1078177,724927,4.533697875786114,0.949729
4,12_L05,31914,XII,5947,12,1078177,724927,4.4023743080337745,0.005947
4,4_L03,31430,IV,130204,4,1531933,724927,4.335608964764728,0.130204
4,4_L15_2,30833,IV,1120420.5,4,1531933,724927,4.253255845071297,1.1204205
4,4_L01,29382,IV,8248,4,1531933,724927,4.053097760188267,0.008248
4,4_L06_2,28790,IV,245056.5,4,1531933,724927,3.971434365115384,0.2450565
4,7_L09,25769,VII,84569,7,1090940,724927,3.5547027493802825,0.084569
4,12_L07,25192,XII,243617,12,1078177,724927,3.4751085281690433,0.243617
4,7_L03,24936,VII,425184,7,1090940,724927,3.4397946275969855,0.425184
4,15_L15,23061,XV,538556,15,1091291,724927,3.1811478948914855,0.538556
4,12_L01,21668,XII,121861,12,1078177,724927,2.988990615606813,0.121861
4,4_L13,18375,IV,713166.5,4,1531933,724927,2.5347379805139,0.7131665
4,3_L03,7733,III,130512.5,3,316620,724927,1.0667280981395368,0.1305125
4,15_L18,5897,XV,906017.5,15,1091291,724927,0.8134612174743112,0.9060175
4,15_L04,89,XV,240148.5,15,1091291,724927,0.0122770982457544,0.2401485
6,3_L04,55908,III,291487.5,3,316620,154600,36.16300129366106,0.2914875
6,12_L05,15055,XII,5947,12,1078177,154600,9.73803363518758,0.005947
6,4_L12_2,8510,IV,914120,4,1531933,154600,5.504527813712807,0.91412
6,15_L01,8137,XV,321702.5,15,1091291,154600,5.263260025873222,0.3217025
6,4_L10_2,7158,IV,492439.5,4,1531933,154600,4.630012936610608,0.4924395
6,4_L15_2,6948,IV,1120420.5,4,1531933,154600,4.494178525226391,1.1204205
6,3_L02,6437,III,37725.5,3,316620,154600,4.163648124191462,0.0377255
6,7_L06,5328,VII,248317.5,7,1090940,154600,3.4463130659767143,0.2483175
6,3_L03,5064,III,130512.5,3,316620,154600,3.275549805950841,0.1305125
6,15_L17_2,4919,XV,756300,15,1091291,154600,3.181759379042691,0.7563
6,12_L07,4145,XII,243617,12,1078177,154600,2.68111254851229,0.243617
6,4_L06_2,4118,IV,245056.5,4,1531933,154600,2.663648124191462,0.2450565
6,12_L01,3754,XII,121861,12,1078177,154600,2.428201811125485,0.121861
6,4_L01,3634,IV,8248,4,1531933,154600,2.3505821474773607,0.008248
6,15_L15,3135,XV,538556,15,1091291,154600,2.0278137128072444,0.538556
6,4_L13,3070,IV,713166.5,4,1531933,154600,1.9857697283311773,0.7131665
6,12_L12,2806,XII,949729,12,1078177,154600,1.815006468305304,0.949729
6,7_L09,2416,VII,84569,7,1090940,154600,1.5627425614489003,0.084569
6,7_L03,1837,VII,425184,7,1090940,154600,1.1882276843467012,0.425184
6,4_L03,1616,IV,130204,4,1531933,154600,1.0452781371280724,0.130204
6,15_L18,570,XV,906017.5,15,1091291,154600,0.36869340232858994,0.9060175
6,15_L04,35,XV,240148.5,15,1091291,154600,0.022639068564036222,0.2401485
8,3_L02,20905,III,37725.5,3,316620,97897,21.354076222969038,0.0377255
8,4_L03,11268,IV,130204,4,1531933,97897,11.510056487941409,0.130204
8,4_L12_2,10174,IV,914120,4,1531933,97897,10.392555440922603,0.91412
8,15_L01,8620,XV,321702.5,15,1091291,97897,8.805172783639948,0.3217025
8,15_L15,8109,XV,538556,15,1091291,97897,8.283195603542499,0.538556
8,4_L10_2,7584,IV,492439.5,4,1531933,97897,7.746917678784845,0.4924395
8,4_L06_2,7549,IV,245056.5,4,1531933,97897,7.711165817134335,0.2450565
8,4_L01,6553,IV,8248,4,1531933,97897,6.693769982736958,0.008248
8,12_L05,6500,XII,5947,12,1078177,97897,6.639631449380471,0.005947
8,4_L15_2,4956,IV,1120420.5,4,1531933,97897,5.062463609712249,1.1204205
8,12_L12,1145,XII,949729,12,1078177,97897,1.1695966168524061,0.949729
8,12_L01,1019,XII,121861,12,1078177,97897,1.0408899149105693,0.121861
8,3_L04,707,III,291487.5,3,316620,97897,0.7221876053403067,0.2914875
8,12_L07,707,XII,243617,12,1078177,97897,0.7221876053403067,0.243617
8,7_L06,606,VII,248317.5,7,1090940,97897,0.6190179474345485,0.2483175
8,15_L18,447,XV,906017.5,15,1091291,97897,0.4566023473650878,0.9060175
8,3_L03,342,III,130512.5,3,316620,97897,0.3493467624135571,0.1305125
8,15_L17_2,205,XV,756300,15,1091291,97897,0.20940376109584563,0.7563
8,7_L09,195,VII,84569,7,1090940,97897,0.19918894348141414,0.084569
8,4_L13,178,IV,713166.5,4,1531933,97897,0.1818237535368806,0.7131665
8,7_L03,104,VII,425184,7,1090940,97897,0.10623410319008754,0.425184
8,15_L04,24,XV,240148.5,15,1091291,97897,0.024515562274635586,0.2401485
