,chrI,chrII,chrIII,chrIV,chrV,chrVI,chrVII,chrVIII,chrIX,chrX,chrXI,chrXII,chrXIII,chrXIV,chrXV,chrXVI,chrM
chrI,0.0105708135314732,0.030186015471097415,0.017079071885044875,0.03839021330522222,0.0,0.013400292860610626,0.047698906212414564,0.02927927095522298,0.016132427213053618,0.019516697910988028,0.020033675594171622,0.03380553830851328,0.026255670945872323,0.02428960868010948,0.02276767036981862,0.02207514607847207,0.0
chrII,0.030186015471097415,0.08619918678050352,0.04877099824142864,0.10962709438775475,0.0,0.03826587673723304,0.13620899816229257,0.08360988711089674,0.04606775968469121,0.05573188320196534,0.05720816469121201,0.09653509631508396,0.07497569482390544,0.0693614073525809,0.06501536026323325,0.06303778787389375,0.0
chrIII,0.017079071885044875,0.04877099824142864,0.0275943469805846,0.06202637202613859,0.0,0.02165061036840812,0.07706625848751565,0.047305987556879044,0.026064870336767555,0.0315327751821591,0.03236804665750656,0.05461899570593144,0.04242081180786312,0.039244280629116834,0.03678531247792679,0.03566641352858555,0.0
chrIV,0.03839021330522222,0.10962709438775475,0.06202637202613859,0.1394224269714333,0.0,0.0486660841892264,0.17322897414359964,0.10633405404851147,0.05858842557350338,0.07087914223305726,0.07275665936760574,0.12277218046630495,0.09535319160466638,0.08821300797270092,0.08268575728423731,0.08017070438081741,0.0
chrV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrVI,0.013400292860610626,0.03826587673723304,0.02165061036840812,0.0486660841892264,0.0,0.016987136157069895,0.06046642583128373,0.03711642480278229,0.020450578242039538,0.024740713370890306,0.025396069965388353,0.042854233715873394,0.033283500733314084,0.0307911845019307,0.028861870451223185,0.027983978859483286,0.0
chrVII,0.047698906212414564,0.13620899816229257,0.07706625848751565,0.17322897414359964,0.0,0.06046642583128373,0.21523278668067086,0.1321174756420492,0.07279469364613868,0.08806561013119175,0.09039837950136993,0.15254144786841572,0.11847402115858209,0.10960251667662577,0.1027350421433268,0.0996101500880079,0.0
chrVIII,0.02927927095522298,0.08360988711089674,0.047305987556879044,0.10633405404851147,0.0,0.03711642480278229,0.1321174756420492,0.08109836628154861,0.0446839504007958,0.054057777538661665,0.05548971365395386,0.0936353207797231,0.07272353272021391,0.06727789037464439,0.06306239229292485,0.06114422333563138,0.0
chrIX,0.016132427213053618,0.04606775968469121,0.026064870336767555,0.05858842557350338,0.0,0.020450578242039538,0.07279469364613868,0.0446839504007958,0.024620168259481396,0.02978500259707927,0.030573977335863648,0.051591619182046196,0.040069546133138664,0.03706908109756538,0.03474640659948412,0.033689525055773564,0.0
chrX,0.019516697910988028,0.05573188320196534,0.0315327751821591,0.07087914223305726,0.0,0.024740713370890306,0.08806561013119175,0.054057777538661665,0.02978500259707927,0.03603331912105729,0.03698780547533608,0.0624145414088709,0.0484753606498895,0.04484545617746253,0.042035529566547596,0.04075693474979198,0.0
chrXI,0.020033675594171622,0.05720816469121201,0.03236804665750656,0.07275665936760574,0.0,0.025396069965388353,0.09039837950136993,0.05548971365395386,0.030573977335863648,0.03698780547533608,0.0379675752124041,0.0640678397876073,0.04975942416076445,0.04603336717253323,0.04314900843401904,0.04183654492753366,0.0
chrXII,0.03380553830851328,0.09653509631508396,0.05461899570593144,0.12277218046630495,0.0,0.042854233715873394,0.15254144786841572,0.0936353207797231,0.051591619182046196,0.0624145414088709,0.0640678397876073,0.10811035658946969,0.08396582602973107,0.07767834465052777,0.07281117490067396,0.07059647719637824,0.0
chrXIII,0.026255670945872323,0.07497569482390544,0.04242081180786312,0.09535319160466638,0.0,0.033283500733314084,0.11847402115858209,0.07272353272021391,0.040069546133138664,0.0484753606498895,0.04975942416076445,0.08396582602973107,0.06521354811202042,0.0603302641759948,0.05655009045937974,0.05483000620460768,0.0
chrXIV,0.02428960868010948,0.0693614073525809,0.039244280629116834,0.08821300797270092,0.0,0.0307911845019307,0.10960251667662577,0.06727789037464439,0.03706908109756538,0.04484545617746253,0.04603336717253323,0.07767834465052777,0.0603302641759948,0.055812647539023104,0.05231553864743526,0.05072425676660412,0.0
chrXV,0.02276767036981862,0.06501536026323325,0.03678531247792679,0.08268575728423731,0.0,0.028861870451223185,0.1027350421433268,0.06306239229292485,0.03474640659948412,0.042035529566547596,0.04314900843401904,0.07281117490067396,0.05655009045937974,0.05231553864743526,0.049037551606160495,0.04754597626604823,0.0
chrXVI,0.02207514607847207,0.06303778787389375,0.03566641352858555,0.08017070438081741,0.0,0.027983978859483286,0.0996101500880079,0.06114422333563138,0.033689525055773564,0.04075693474979198,0.04183654492753366,0.07059647719637824,0.05483000620460768,0.05072425676660412,0.04754597626604823,0.046099770177098806,0.0
chrM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
